"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1695840583677,"27/09/2023 18:49:43",1695826183677,-4,"27/09/2023 10:49:43",144636,5,"questionnaire-t2gh",NA,31905806,9434786,NA,"complete","eilfgx","36DSNE9QZBX6OUNO6Q8VY53UR17JOR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1348x602",NA,NA,0,"Consent (without video or audio)",2,"GHFIEJDACB","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPAMT38095"
"1",1695840583488,"27/09/2023 18:49:43",1695826183488,-4,"27/09/2023 10:49:43",144636,5,"questionnaire-t2gh",NA,31905807,9434788,NA,"complete","rqazep","30ZX6P7VFEUSHNYJJSAYRS0RQW9J2J","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT37895"
"1",1695862239069,"28/09/2023 00:50:39",1695847839069,-4,"27/09/2023 16:50:39",144636,5,"questionnaire-t2gh",NA,31905816,9434789,NA,"complete","vqanwo","3137ONMDKM4AL1KY46KWWGH0V7KEGE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1298x609",NA,NA,0,"Consent (without video or audio)",2,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT46237"
"1",1695840639436,"27/09/2023 18:50:39",1695826239436,-4,"27/09/2023 10:50:39",144636,5,"questionnaire-t2gh",NA,31905833,9434806,NA,"complete","henypu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Consent (without video or audio)",2,"ABJCIDHEGF","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPAMT46237"
"1",1695840546638,"27/09/2023 18:49:06",1695826146638,-4,"27/09/2023 10:49:06",144636,5,"questionnaire-t2gh",NA,31905919,9434867,NA,"complete","mjkstf","3QBD8R3Z27IGLC433JLRS3EB9564OC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT52075"
"1",1695862452724,"28/09/2023 00:54:12",1695848052724,-4,"27/09/2023 16:54:12",144636,5,"questionnaire-t2gh",NA,31905922,9434872,NA,"complete","kkwsod","39KFRKBFITUWJJINSQ9Y8SII45HYO1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"FGEHDICJBA","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPAMT34408"
"1",1695840909541,"27/09/2023 18:55:09",1695826509541,-4,"27/09/2023 10:55:09",144636,5,"questionnaire-t2gh",NA,31905961,9434898,NA,"complete","fgfwcs","386PBUZZXLWYI9KRTYS36OZ0WW2JLA","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1327x596",NA,NA,0,"Consent (without video or audio)",2,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT56321"
"1",1695841657161,"27/09/2023 19:07:37",1695827257161,-4,"27/09/2023 11:07:37",144636,5,"questionnaire-t2gh",NA,31906471,9435252,NA,"complete","fgfhmm","38BQUHLA92ZWP2T99NLNEXVBVV4MO0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"JAIBHCGDFE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT69675"
"1",1695850554425,"27/09/2023 21:35:54",1695828954425,-6,"27/09/2023 09:35:54",144636,5,"questionnaire-t2gh",NA,31907136,9435777,NA,"complete","ysbynr","3NPFYT4IZI3JR1BFZBAOK527BESGXO","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x747",NA,NA,0,"Consent (without video or audio)",2,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT87285"
"1",1695843476776,"27/09/2023 19:37:56",1695829076776,-4,"27/09/2023 11:37:56",144636,5,"questionnaire-t2gh",NA,31907229,9435822,NA,"complete","jnaanr","3Y5140Z9D3FSEJFJ380AB4TKOS7PIX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT94387"
"1",1695865137048,"28/09/2023 01:38:57",1695850737048,-4,"27/09/2023 17:38:57",144636,5,"questionnaire-t2gh",NA,31907258,9435835,NA,"complete","xnepon","3M0BCWMB81V8BKYE9KMOHBX3MZVWBV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT94580"
"1",1695865184530,"28/09/2023 01:39:44",1695850784530,-4,"27/09/2023 17:39:44",144636,5,"questionnaire-t2gh",NA,31907305,9435859,NA,"complete","mhiuae","3R9WASFE25F2IWFZP9SRZ5I6IZMFZH","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT69504"
"1",1695843574411,"27/09/2023 19:39:34",1695829174411,-4,"27/09/2023 11:39:34",144636,5,"questionnaire-t2gh",NA,31907321,9435864,NA,"complete","nzddti","338JKRMM2CYLVKYX870SLX3APTTHAH","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"IJHAGBFCED","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT01522"
"1",1695843563289,"27/09/2023 19:39:23",1695829163289,-4,"27/09/2023 11:39:23",144636,5,"questionnaire-t2gh",NA,31907324,9435866,NA,"complete","esrdgj","3U84XHCDIICSKGIA5SW881LFT9HZ4H","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Consent (without video or audio)",2,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT21062"
"1",1695843696126,"27/09/2023 19:41:36",1695829296126,-4,"27/09/2023 11:41:36",144636,5,"questionnaire-t2gh",NA,31907429,9435908,NA,"complete","eyojuc","3A1PQ49WVNGP1WLXCO7ZAWA7LYYH12","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Consent (without video or audio)",2,"GHFIEJDACB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT32911"
"1",1695847407933,"27/09/2023 20:43:27",1695829407933,-5,"27/09/2023 10:43:27",144636,5,"questionnaire-t2gh",NA,31907532,9435951,NA,"complete","jxynvv","38SKSKU7R7W2NY0LBG73UNK0JI8ILU","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1280x720","1280x580",NA,NA,0,"Consent (without video or audio)",2,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPAMT88382"
