"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692016013101,"14/08/2023 12:26:53",1692019613101,1,"14/08/2023 14:26:53",140743,17,"task-n9i1",NA,31175837,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05791"
"2",1692016016262,"14/08/2023 12:26:56",1692019616262,1,"14/08/2023 14:26:56",140743,17,"task-n9i1",NA,31175837,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",3189.02500001192,3180.336,3189.02500001192,3189.02500001192,3180.336,3189.02500001192,1,3189.02500001192,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF05791"
"3",1692016016265,"14/08/2023 12:26:56",1692019616265,1,"14/08/2023 14:26:56",140743,17,"task-n9i1",NA,31175837,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05791"
"1",1692027877318,"14/08/2023 15:44:37",1692031477318,1,"14/08/2023 17:44:37",140743,17,"task-n9i1",NA,31180675,9243732,NA,"complete",NA,"64da57bf281e21980598870b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"CDBEAFJGIH","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF84507"
"2",1692027881730,"14/08/2023 15:44:41",1692031481730,1,"14/08/2023 17:44:41",140743,17,"task-n9i1",NA,31180675,9243732,NA,"complete",NA,"64da57bf281e21980598870b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"CDBEAFJGIH","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",4428.62500002384,4416.277,4428.62500002384,4428.62500002384,4416.277,4428.62500002384,1,4428.62500002384,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF84507"
"3",1692027881735,"14/08/2023 15:44:41",1692031481735,1,"14/08/2023 17:44:41",140743,17,"task-n9i1",NA,31180675,9243732,NA,"complete",NA,"64da57bf281e21980598870b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"CDBEAFJGIH","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF84507"
"1",1692084664886,"15/08/2023 07:31:04",1692088264886,1,"15/08/2023 09:31:04",140743,17,"task-n9i1",NA,31187023,9247022,NA,"complete",NA,"64db3028111b0ff40205a905","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x690",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF66474"
"2",1692084669136,"15/08/2023 07:31:09",1692088269136,1,"15/08/2023 09:31:09",140743,17,"task-n9i1",NA,31187023,9247022,NA,"complete",NA,"64db3028111b0ff40205a905","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x690",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",4258.80999995232,4249.83,4258.80999995232,4258.80999995232,4249.83,4258.80999995232,1,4258.80999995232,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF66474"
"3",1692084669138,"15/08/2023 07:31:09",1692088269138,1,"15/08/2023 09:31:09",140743,17,"task-n9i1",NA,31187023,9247022,NA,"complete",NA,"64db3028111b0ff40205a905","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x690",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF66474"
"1",1692192696975,"16/08/2023 13:31:36",1692196296975,1,"16/08/2023 15:31:36",140743,17,"task-n9i1",NA,31221173,9254439,NA,"complete",NA,"64dcdc11738dec7846d76850","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x937",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89096"
