"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"21",1692006149309,"14/08/2023 09:42:29",1692009749309,1,"14/08/2023 11:42:29",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Positive Feedback","Fixation","mtm832",2,"continue","",966.801999999996,966.801999999996,966.801999999996,966.801999999996,966.801999999996,966.801999999996,1,966.801999999996,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"22",1692006191046,"14/08/2023 09:43:11",1692009791046,1,"14/08/2023 11:43:11",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",41737.116999994,41733.108,41737.116999994,41737.116999994,41733.108,41737.116999994,1,41737.116999994,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"23",1692006191050,"14/08/2023 09:43:11",1692009791050,1,"14/08/2023 11:43:11",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","It was okay needed more description. ",28633.175,41733.108,41740.517,28633.175,41733.108,41740.517,1,28633.175,13107.342,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"24",1692006191050,"14/08/2023 09:43:11",1692009791050,1,"14/08/2023 11:43:11",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","Okay explanation. ",22199.791,41733.108,41740.8169999821,22199.791,41733.108,41740.8169999821,1,22199.791,19541.0259999821,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"25",1692006192009,"14/08/2023 09:43:12",1692009792009,1,"14/08/2023 11:43:12",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,3,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.602000000014,966.602000000014,966.602000000014,966.602000000014,966.602000000014,966.602000000014,1,966.602000000014,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPPRF16300"
"26",1692006254349,"14/08/2023 09:44:14",1692009854349,1,"14/08/2023 11:44:14",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,4,"Positive Feedback","Video","w2ir4b",1,"continue","",62340.5069999881,62333.087,62340.5069999881,62340.5069999881,62333.087,62340.5069999881,1,62340.5069999881,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"27",1692006254352,"14/08/2023 09:44:14",1692009854352,1,"14/08/2023 11:44:14",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,4,"Positive Feedback","Video","w2ir4b",1,"response","You described it very well. Fluent explanation ",28199.881,62333.087,62343.906999994,28199.881,62333.087,62343.906999994,1,28199.881,34144.025999994,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"28",1692006254352,"14/08/2023 09:44:14",1692009854352,1,"14/08/2023 11:44:14",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,4,"Positive Feedback","Video","w2ir4b",1,"response","It was excellent. ",6116.72999999998,62333.087,62344.307,6116.72999999998,62333.087,62344.307,1,6116.72999999998,56227.577,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"29",1692006255309,"14/08/2023 09:44:15",1692009855309,1,"14/08/2023 11:44:15",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,4,"Positive Feedback","Fixation","mtm832",2,"continue","",966.643999999971,966.643999999971,966.643999999971,966.643999999971,966.643999999971,966.643999999971,1,966.643999999971,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
"30",1692006287109,"14/08/2023 09:44:47",1692009887109,1,"14/08/2023 11:44:47",140743,17,"task-f6fg",NA,31172533,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Video Feedback Task (Clone)",6,"CDBEAFJGIH",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first",1,4,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",31799.9350000001,31783.172,31799.9350000001,31799.9350000001,31783.172,31799.9350000001,1,31799.9350000001,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPPRF16300"
