"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692021486772,"14/08/2023 13:58:06",1692025086772,1,"14/08/2023 15:58:06",140743,17,"task-9zlx",NA,31177613,9242705,NA,"complete",NA,"64da33cb039cd8a237b8ae7e","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"Exit task",3,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF02797"
"2",1692021491649,"14/08/2023 13:58:11",1692025091649,1,"14/08/2023 15:58:11",140743,17,"task-9zlx",NA,31177613,9242705,NA,"complete",NA,"64da33cb039cd8a237b8ae7e","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"Exit task",3,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",4916.498,4866.569,4916.498,4916.498,4866.569,4916.498,1,4916.498,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF02797"
"3",1692021491652,"14/08/2023 13:58:11",1692025091652,1,"14/08/2023 15:58:11",140743,17,"task-9zlx",NA,31177613,9242705,NA,"complete",NA,"64da33cb039cd8a237b8ae7e","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"Exit task",3,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF02797"
"1",1692019876491,"14/08/2023 13:31:16",1692023476491,1,"14/08/2023 15:31:16",140743,17,"task-9zlx",NA,31177202,9242601,NA,"complete",NA,"64da2f985a88203d07bbb784","computer","Desktop or Laptop","Windows 10","Firefox 116.0","2560x1440","2560x1307",NA,NA,0,"Exit task",3,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF54733"
"2",1692019886986,"14/08/2023 13:31:26",1692023486986,1,"14/08/2023 15:31:26",140743,17,"task-9zlx",NA,31177202,9242601,NA,"complete",NA,"64da2f985a88203d07bbb784","computer","Desktop or Laptop","Windows 10","Firefox 116.0","2560x1440","2560x1307",NA,NA,0,"Exit task",3,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",10499.64,10495.34,10499.64,10499.64,10495.34,10499.64,1,10499.64,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF54733"
"3",1692019886990,"14/08/2023 13:31:26",1692023486990,1,"14/08/2023 15:31:26",140743,17,"task-9zlx",NA,31177202,9242601,NA,"complete",NA,"64da2f985a88203d07bbb784","computer","Desktop or Laptop","Windows 10","Firefox 116.0","2560x1440","2560x1307",NA,NA,0,"Exit task",3,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF54733"
"1",1692018248045,"14/08/2023 13:04:08",1692021848045,1,"14/08/2023 15:04:08",140743,17,"task-9zlx",NA,31176642,9242405,NA,"complete",NA,"64da234622c1185dd4ea45b0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2048x1152","2048x1074",NA,NA,0,"Exit task",3,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF26790"
"2",1692018253542,"14/08/2023 13:04:13",1692021853542,1,"14/08/2023 15:04:13",140743,17,"task-9zlx",NA,31176642,9242405,NA,"complete",NA,"64da234622c1185dd4ea45b0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2048x1152","2048x1074",NA,NA,0,"Exit task",3,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",6066.09999996424,6054.488,6066.09999996424,6066.09999996424,6054.488,6066.09999996424,1,6066.09999996424,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF26790"
"3",1692018253543,"14/08/2023 13:04:13",1692021853543,1,"14/08/2023 15:04:13",140743,17,"task-9zlx",NA,31176642,9242405,NA,"complete",NA,"64da234622c1185dd4ea45b0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2048x1152","2048x1074",NA,NA,0,"Exit task",3,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF26790"
"1",1692017426520,"14/08/2023 12:50:26",1692021026520,1,"14/08/2023 14:50:26",140743,17,"task-9zlx",NA,31176352,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Exit task",3,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF05791"
"2",1692017429977,"14/08/2023 12:50:29",1692021029977,1,"14/08/2023 14:50:29",140743,17,"task-9zlx",NA,31176352,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Exit task",3,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",3496.584,3480,3496.584,3496.584,3480,3496.584,1,3496.584,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF05791"
"3",1692017429978,"14/08/2023 12:50:29",1692021029978,1,"14/08/2023 14:50:29",140743,17,"task-9zlx",NA,31176352,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Exit task",3,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF05791"
"1",1692017248852,"14/08/2023 12:47:28",1692020848852,1,"14/08/2023 14:47:28",140743,17,"task-9zlx",NA,31176288,9242486,NA,"complete",NA,"64da2810496ece3b2ddf78ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Exit task",3,"GHFIEJDACB","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF83190"
