"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Consent.Form.object.2.I.have.read.and.understood.the.Study.Description.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1692015377637,"14/08/2023 12:16:17",1692018977637,1,"14/08/2023 14:16:17",140743,17,"questionnaire-wco5",NA,31175624,9242502,NA,"complete",NA,"64da2735ae3e62b81bdf7946","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Consent (cloned with scoring)",7,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF05791"
"1",1692017041894,"14/08/2023 12:44:01",1692020641894,1,"14/08/2023 14:44:01",140743,17,"questionnaire-wco5",NA,31176216,9242601,NA,"complete",NA,"64da2f985a88203d07bbb784","computer","Desktop or Laptop","Windows 10","Firefox 116.0","2560x1440","2560x1307",NA,NA,0,"Consent (cloned with scoring)",7,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF54733"
"1",1692030437969,"14/08/2023 16:27:17",1692034037969,1,"14/08/2023 18:27:17",140743,17,"questionnaire-wco5",NA,31181167,9244017,NA,"complete",NA,"64da50a5b280d5d8e5e9eb1f","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x720","1280x609",NA,NA,0,"Consent (cloned with scoring)",7,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","1","1","1","1","1","1","1","1","1","1","SUPPRF53772"
"1",1692034276161,"14/08/2023 17:31:16",1692037876161,1,"14/08/2023 19:31:16",140743,17,"questionnaire-wco5",NA,31182213,9244459,NA,"complete",NA,"64da722cd7dae2d981f16215","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1707x830",NA,NA,0,"Consent (cloned with scoring)",7,"FGEHDICJBA","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF02973"
"1",1692086765351,"15/08/2023 08:06:05",1692090365351,1,"15/08/2023 10:06:05",140743,17,"questionnaire-wco5",NA,31187413,9247180,NA,"complete",NA,"64db3ff30b0051af402a25df","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x696",NA,NA,0,"Consent (cloned with scoring)",7,"HIGJFAEBDC","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF09311"
"1",1692100767056,"15/08/2023 11:59:27",1692104367056,1,"15/08/2023 13:59:27",140743,17,"questionnaire-wco5",NA,31191444,9248263,NA,"complete",NA,"64db7694cf9ebb92b4a19732","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.55","1280x720","1280x601",NA,NA,0,"Consent (cloned with scoring)",7,"ABJCIDHEGF","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF66122"
"1",1692192267138,"16/08/2023 13:24:27",1692195867138,1,"16/08/2023 15:24:27",140743,17,"questionnaire-wco5",NA,31221027,9254439,NA,"complete",NA,"64dcdc11738dec7846d76850","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x937",NA,NA,0,"Consent (cloned with scoring)",7,"GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF89096"
"1",1692358884936,"18/08/2023 11:41:24",1692362484936,1,"18/08/2023 13:41:24",140743,17,"questionnaire-wco5",NA,31245226,9261948,NA,"complete",NA,"64df66dd18f0e4168f29a35f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1287x707",NA,NA,0,"Consent (cloned with scoring)",7,"ABJCIDHEGF","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF05489"
"1",1692446425707,"19/08/2023 12:00:25",1692450025707,1,"19/08/2023 14:00:25",140743,17,"questionnaire-wco5",NA,31255271,9265347,NA,"complete",NA,"64e0bcd5bf3ef3ff724048a9","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.82","1366x768","1311x649",NA,NA,0,"Consent (cloned with scoring)",7,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","1","1","1","1","1","1","1","1","1","1","SUPPRF88097"
"1",1692550355151,"20/08/2023 16:52:35",1692553955151,1,"20/08/2023 18:52:35",140743,17,"questionnaire-wco5",NA,31263304,9267612,NA,"complete",NA,"64e252d5b92f3bcf49791cfd","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x595",NA,NA,0,"Consent (cloned with scoring)",7,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF06732"
