"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.my.personal.data.such.as.name..date.of.birth..age..gender..sex..health.information..email.address.and.phone.number...I.Agree.","Consent.Form.object.2.I.consent.to.a.video..eye.movement.and.audio.recording.of.the.testing.session.to.take.place...I.Agree.","Consent.Form.object.2.I.understand.that.the.video.and.audio.recording.data.will.be.kept.safe.on.a.secure.university.computer.and.storing.system.to.which.access.is.highly.restricted..only.by.the.study.team..and.will.be.de.identified.and.destroyed.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.the.lawful.basis.for.processing.my.personal.information.is..public.task...and.the.lawful.basis.for.processing.my.special.category.information.is.research.purposes...I.Agree.","Consent.Form.object.2.I.understand.that.my.personally.identifying.data.will.be.deleted.at.the.end.of.the.study...I.Agree.","Consent.Form.object.2.I.understand.that.all.personal.information.will.remain.confidential.and.that.all.efforts.will.be.made.to.ensure.I.cannot.be.identified..except.as.required.by.law...I.understand.that.my.data.will.be.stored.securely.and.pseudonymously.during.the.study.period..and.will.be.anonymised.after.the.study.is.complete...I.Agree.","Consent.Form.object.2.I.understand.that.my.participation.is.completely.voluntary.and.that.I.am.free.to.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.of.Love2Shop.voucher.e.Gift.cards.at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL..I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.between.14...18.years.old..speak.fluent.English..and.am.able.to.complete.testing.from.a.computer.with.a.good.internet.connection..in.a.private.space..I.Agree.","Multiple.Choice.object.12.Response","Multiple.Choice.object.12.Quantised","Text.Input.object.29.Value","Random_ID_new"
1,1731946675772,"18/11/2024 16:17:55",1731946675772,0,"18/11/2024 16:17:55",177048,9,"questionnaire-rcv8",NA,41429007,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Consent Under 18",4,"DECFBGAH","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"No",2,"SUPSCH29282","SUPSCO12088"
1,1723802355830,"16/08/2024 09:59:15",1723805955830,1,"16/08/2024 11:59:15",177048,9,"questionnaire-rcv8",NA,39584244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1200x682",NA,NA,0,"Consent Under 18",4,"GHFAEBDC","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH71024","SUPSCO99657"
1,1721835222630,"24/07/2024 15:33:42",1721838822630,1,"24/07/2024 17:33:42",177048,9,"questionnaire-rcv8",NA,39183143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","3460x1442","3460x1320",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH05446 ","SUPSCO05489"
1,1721824241327,"24/07/2024 12:30:41",1721827841327,1,"24/07/2024 14:30:41",177048,9,"questionnaire-rcv8",NA,39179044,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1920x1080","1654x1028",NA,NA,0,"Consent Under 18",4,"HAGBFCED","Passed AC2","","spreadsheet_5",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH16644","SUPSCO84507"
1,1721817072766,"24/07/2024 10:31:12",1721820672766,1,"24/07/2024 12:31:12",177048,9,"questionnaire-rcv8",NA,39165306,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Consent Under 18",4,"GHFAEBDC","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH68227","SUPSCO45532"
1,1721642910122,"22/07/2024 10:08:30",1721646510122,1,"22/07/2024 12:08:30",177048,9,"questionnaire-rcv8",NA,39121229,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","2048x1152","1609x887",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH48256","SUPSCO14619"
1,1721307411580,"18/07/2024 12:56:51",1721311011580,1,"18/07/2024 14:56:51",177048,9,"questionnaire-rcv8",NA,39054598,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x1024","1536x889",NA,NA,0,"Consent Under 18",4,"DECFBGAH","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH06162","SUPSCO96648"
1,1721057223433,"15/07/2024 15:27:03",1721060823433,1,"15/07/2024 17:27:03",177048,9,"questionnaire-rcv8",NA,38978833,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH93128","SUPSCO16544"
1,1720778505195,"12/07/2024 10:01:45",1720782105195,1,"12/07/2024 12:01:45",177048,9,"questionnaire-rcv8",NA,38934173,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x799",NA,NA,0,"Consent Under 18",4,"BCADHEGF","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH57270","SUPSCO34679"
1,1720625710453,"10/07/2024 15:35:10",1720629310453,1,"10/07/2024 17:35:10",177048,9,"questionnaire-rcv8",NA,38876617,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH94910","SUPSCO31721"
1,1720098177494,"04/07/2024 13:02:57",1720101777494,1,"04/07/2024 15:02:57",177048,9,"questionnaire-rcv8",NA,38752905,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Consent Under 18",4,"HAGBFCED","Passed AC2","","spreadsheet_5",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH54733","SUPSCO05151"
1,1719926330534,"02/07/2024 13:18:50",1719929930534,1,"02/07/2024 15:18:50",177048,9,"questionnaire-rcv8",NA,38687988,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Consent Under 18",4,"GHFAEBDC","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH91399","SUPSCO50909"
1,1719570442180,"28/06/2024 10:27:22",1719574042180,1,"28/06/2024 12:27:22",177048,9,"questionnaire-rcv8",NA,38561933,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH14738","SUPSCO12782"
1,1719415757209,"26/06/2024 15:29:17",1719419357209,1,"26/06/2024 17:29:17",177048,9,"questionnaire-rcv8",NA,38523289,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1305",NA,NA,0,"Consent Under 18",4,"BCADHEGF","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH64805","SUPSCO41800"
1,1719413791187,"26/06/2024 14:56:31",1719417391187,1,"26/06/2024 16:56:31",177048,9,"questionnaire-rcv8",NA,38522146,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent Under 18",4,"ABHCGDFE","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH04225","SUPSCO83190"
1,1719396248939,"26/06/2024 10:04:08",1719399848939,1,"26/06/2024 12:04:08",177048,9,"questionnaire-rcv8",NA,38506490,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x725",NA,NA,0,"Consent Under 18",4,"HAGBFCED","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH05791","SUPSCO65569"
1,1719243102082,"24/06/2024 15:31:42",1719246702082,1,"24/06/2024 17:31:42",177048,9,"questionnaire-rcv8",NA,38461601,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x919",NA,NA,0,"Consent Under 18",4,"FGEHDACB","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH24420","SUPSCO01588"
1,1719230525274,"24/06/2024 12:02:05",1719234125274,1,"24/06/2024 14:02:05",177048,9,"questionnaire-rcv8",NA,38456408,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent Under 18",4,"EFDGCHBA","Passed AC2","","spreadsheet_3",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH17067","SUPSCO79155"
1,1719223305418,"24/06/2024 10:01:45",1719226905418,1,"24/06/2024 12:01:45",177048,9,"questionnaire-rcv8",NA,38452535,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x800","1280x665",NA,NA,0,"Consent Under 18",4,"DECFBGAH","Passed AC2","","spreadsheet",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH54424","SUPSCO91602"
1,1718724681333,"18/06/2024 15:31:21",1718728281333,1,"18/06/2024 17:31:21",177048,9,"questionnaire-rcv8",NA,38358037,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1280x720","1280x585",NA,NA,0,"Consent Under 18",4,"CDBEAFHG","Passed AC2","","spreadsheet_4",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH87656","SUPSCO61449"
1,1718714436311,"18/06/2024 12:40:36",1718718036311,1,"18/06/2024 14:40:36",177048,9,"questionnaire-rcv8",NA,38353398,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1366x641",NA,NA,0,"Consent Under 18",4,"BCADHEGF","Passed AC2","","spreadsheet_2",1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes",1,"SUPSCH02217","SUPSCO18638"
