"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"14",1691004569466,"02/08/2023 19:29:29",1691008169466,1,"02/08/2023 21:29:29",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",94178.658,94167.038,94178.658,94178.658,94167.038,94178.658,1,94178.658,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"15",1691004569475,"02/08/2023 19:29:29",1691008169475,1,"02/08/2023 21:29:29",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","The background is mentioned.",83433.668,94167.038,94183.704,83433.668,94167.038,94183.704,1,83433.668,10750.036,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"16",1691004569476,"02/08/2023 19:29:29",1691008169476,1,"02/08/2023 21:29:29",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","He makes an attempt to describe features.",28266.771,94167.038,94183.704,28266.771,94167.038,94183.704,1,28266.771,65916.933,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"17",1691004570421,"02/08/2023 19:29:30",1691008170421,1,"02/08/2023 21:29:30",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,2,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.677999999985,966.677999999985,966.677999999985,966.677999999985,966.677999999985,966.677999999985,1,966.677999999985,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"18",1691004647065,"02/08/2023 19:30:47",1691008247065,1,"02/08/2023 21:30:47",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"continue","",76644.2420000008,76633.632,76644.2420000008,76644.2420000008,76633.632,76644.2420000008,1,76644.2420000008,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"19",1691004647073,"02/08/2023 19:30:47",1691008247073,1,"02/08/2023 21:30:47",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","She pays attention to the fine details.",63883.578,76633.632,76650.298,63883.578,76633.632,76650.298,1,63883.578,12766.72,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"20",1691004647075,"02/08/2023 19:30:47",1691008247075,1,"02/08/2023 21:30:47",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","She mentions about the diversity of the group.",30016.762,76633.632,76650.298,30016.762,76633.632,76650.298,1,30016.762,46633.536,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"21",1691004648022,"02/08/2023 19:30:48",1691008248022,1,"02/08/2023 21:30:48",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Positive Feedback","Fixation","mtm832",2,"continue","",966.684999999998,966.684999999998,966.684999999998,966.684999999998,966.684999999998,966.684999999998,1,966.684999999998,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"22",1691004865086,"02/08/2023 19:34:25",1691008465086,1,"02/08/2023 21:34:25",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",217064.425000001,217050.86,217064.425000001,217064.425000001,217050.86,217064.425000001,1,217064.425000001,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"23",1691004865102,"02/08/2023 19:34:25",1691008465102,1,"02/08/2023 21:34:25",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","She is understandable, accent wise.",208534.146,217050.86,217067.526,208534.146,217050.86,217067.526,1,208534.146,8533.37999999995,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"24",1691004865103,"02/08/2023 19:34:25",1691008465103,1,"02/08/2023 21:34:25",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response"," She describes the lighting and backdrop.",7466.70000000001,217050.86,217067.526,7466.70000000001,217050.86,217067.526,1,7466.70000000001,209600.826,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"25",1691004866040,"02/08/2023 19:34:26",1691008466040,1,"02/08/2023 21:34:26",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,3,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.675999999978,966.675999999978,966.675999999978,966.675999999978,966.675999999978,966.675999999978,1,966.675999999978,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"26",1691005085464,"02/08/2023 19:38:05",1691008685464,1,"02/08/2023 21:38:05",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"continue","",219426.189000001,219417.533,219426.189000001,219426.189000001,219417.533,219426.189000001,1,219426.189000001,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"27",1691005085468,"02/08/2023 19:38:05",1691008685468,1,"02/08/2023 21:38:05",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","Describes the emotions of the family.",209050.828,219417.533,219430.089,209050.828,219417.533,219430.089,1,209050.828,10379.2610000001,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"28",1691005085469,"02/08/2023 19:38:05",1691008685469,1,"02/08/2023 21:38:05",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","He emphasises parts that require emphasis.",154767.28,219417.533,219430.589,154767.28,219417.533,219430.589,1,154767.28,64663.309,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"29",1691005086424,"02/08/2023 19:38:06",1691008686424,1,"02/08/2023 21:38:06",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Positive Feedback","Fixation","mtm832",2,"continue","",966.67499999993,966.67499999993,966.67499999993,966.67499999993,966.67499999993,966.67499999993,1,966.67499999993,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM61449"
"30",1691005399436,"02/08/2023 19:43:19",1691008999436,1,"02/08/2023 21:43:19",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",313012.981000001,313001.222,313012.981000001,313012.981000001,313001.222,313012.981000001,1,313012.981000001,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"31",1691005399446,"02/08/2023 19:43:19",1691008999446,1,"02/08/2023 21:43:19",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","Describes their clothing and emotions.",306984.532,313001.222,313017.888,306984.532,313001.222,313017.888,1,306984.532,6033.35599999991,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"32",1691005399448,"02/08/2023 19:43:19",1691008999448,1,"02/08/2023 21:43:19",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","Brings all aspects of the situation to hand.",135500.529,313001.222,313017.888,135500.529,313001.222,313017.888,1,135500.529,177517.359,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
"33",1691005400392,"02/08/2023 19:43:20",1691009000392,1,"02/08/2023 21:43:20",139282,42,"task-s9co",NA,31015665,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In",1,1,4,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.665000000037,966.665000000037,966.665000000037,966.665000000037,966.665000000037,966.665000000037,1,966.665000000037,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM61449"
