"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"151",1691006419350,"02/08/2023 20:00:19",1691010019350,1,"02/08/2023 22:00:19",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",74,"Task","Screen 3","izqege",2,"continue","",1766.929,1766.929,1766.929,1766.929,1766.929,1766.929,1,1766.929,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You're very articulate.","You appeared very confident.","Task",NA,NA,NA,"SUPTM61449"
"152",1691006421552,"02/08/2023 20:00:21",1691010021552,1,"02/08/2023 22:00:21",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",75,"Task","Screen 1","113qg5",1,"continue","",2204.13299999968,2199.9310000001,2204.13299999968,2204.13299999968,2199.9310000001,2204.13299999968,1,2204.13299999968,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"You did what was asked of you.","You appeared very confident.","Task",NA,NA,NA,"SUPTM61449"
"153",1691006423316,"02/08/2023 20:00:23",1691010023316,1,"02/08/2023 22:00:23",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",75,"Task","Screen 3","izqege",2,"continue","",1766.75099999993,1766.75099999993,1766.75099999993,1766.75099999993,1766.75099999993,1766.75099999993,1,1766.75099999993,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You did what was asked of you.","You appeared very confident.","Task",NA,NA,NA,"SUPTM61449"
"154",1691006424576,"02/08/2023 20:00:24",1691010024576,1,"02/08/2023 22:00:24",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",76,"Task","Screen 1","113qg5",1,"continue","",1261.95099999965,1249.98400000005,1261.95099999965,1261.95099999965,1249.98400000005,1261.95099999965,1,1261.95099999965,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"That was perfect.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"155",1691006426334,"02/08/2023 20:00:26",1691010026334,1,"02/08/2023 22:00:26",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",76,"Task","Screen 3","izqege",2,"continue","",1766.70999999996,1766.70999999996,1766.70999999996,1766.70999999996,1766.70999999996,1766.70999999996,1,1766.70999999996,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was perfect.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"156",1691006427858,"02/08/2023 20:00:27",1691010027858,1,"02/08/2023 22:00:27",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",77,"Task","Screen 1","113qg5",1,"continue","",1527.15700000001,1516.62199999997,1527.15700000001,1527.15700000001,1516.62199999997,1527.15700000001,1,1527.15700000001,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"Your description was very insightful.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"157",1691006429616,"02/08/2023 20:00:29",1691010029616,1,"02/08/2023 22:00:29",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",77,"Task","Screen 3","izqege",2,"continue","",1766.72400000005,1766.72400000005,1766.72400000005,1766.72400000005,1766.72400000005,1766.72400000005,1,1766.72400000005,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"Your description was very insightful.","You came across really well.","Task",NA,NA,NA,"SUPTM61449"
"158",1691006431264,"02/08/2023 20:00:31",1691010031264,1,"02/08/2023 22:00:31",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",78,"Task","Screen 1","113qg5",1,"continue","",1649.91099999961,1633.29999999993,1649.91099999961,1649.91099999961,1633.29999999993,1649.91099999961,1,1649.91099999961,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"Well done!","You seemed very in-control.","Task",NA,NA,NA,"SUPTM61449"
"159",1691006433016,"02/08/2023 20:00:33",1691010033016,1,"02/08/2023 22:00:33",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",78,"Task","Screen 3","izqege",2,"continue","",1766.72200000007,1766.72200000007,1766.72200000007,1766.72200000007,1766.72200000007,1766.72200000007,1,1766.72200000007,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"Well done!","You seemed very in-control.","Task",NA,NA,NA,"SUPTM61449"
"160",1691006434265,"02/08/2023 20:00:34",1691010034265,1,"02/08/2023 22:00:34",139282,42,"task-lqy7",NA,31015924,9199072,NA,"complete",NA,NA,"computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1920x905",NA,NA,NA,"Feedback Phrases Task - List 2",8,"In","HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","In","Feedback Phrases List 2","Feedback Phrases List 2",79,"Task","Screen 1","113qg5",1,"continue","",1249.97999999998,1233.31400000001,1249.97999999998,1249.97999999998,1233.31400000001,1249.97999999998,1,1249.97999999998,0,0,NA,"Click To Continue","Text_left_X2",3,"object-19",NA,1,"Well done!","That was perfect.","Task",NA,NA,NA,"SUPTM61449"
