"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"7",1709577283600,"04/03/2024 18:34:43",1709559283600,-5,"04/03/2024 08:34:43",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",4299.7,14432.5,14445.0999996185,4299.7,14432.5,14445.0999996185,1,4299.7,10145.3999996185,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF85564"
"8",1709577283601,"04/03/2024 18:34:43",1709559283601,-5,"04/03/2024 08:34:43",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",7399.6,14432.5,14445.9999992371,7399.6,14432.5,14445.9999992371,1,7399.6,7046.39999923706,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF85564"
"9",1709577283602,"04/03/2024 18:34:43",1709559283602,-5,"04/03/2024 08:34:43",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",13865.8,14432.5,14446.5999996185,13865.8,14432.5,14446.5999996185,1,13865.8,580.799999618532,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF85564"
"10",1709577310813,"04/03/2024 18:35:10",1709559310813,-5,"04/03/2024 08:35:10",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",27218.8000003815,27198.5,27218.8000003815,27218.8000003815,27198.5,27218.8000003815,1,27218.8000003815,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF85564"
"11",1709577310816,"04/03/2024 18:35:10",1709559310816,-5,"04/03/2024 08:35:10",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",16765.7,27198.5,27221.4999992371,16765.7,27198.5,27221.4999992371,1,16765.7,10455.7999992371,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPPRF85564"
"12",1709577310816,"04/03/2024 18:35:10",1709559310816,-5,"04/03/2024 08:35:10",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",21298.8,27198.5,27221.9000007629,21298.8,27198.5,27221.9000007629,1,21298.8,5923.10000076293,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPPRF85564"
"13",1709577310817,"04/03/2024 18:35:10",1709559310817,-5,"04/03/2024 08:35:10",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",25831.9,27198.5,27222.3000003815,25831.9,27198.5,27222.3000003815,1,25831.9,1390.40000038147,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPPRF85564"
"14",1709577310821,"04/03/2024 18:35:10",1709559310821,-5,"04/03/2024 08:35:10",169741,4,"task-gjqt",NA,35768194,10572173,NA,"complete",NA,"65e6121c13c300c867dade4b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Chocking_first","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF85564"
"1",1709577824427,"04/03/2024 18:43:44",1709577824427,0,"04/03/2024 18:43:44",169741,4,"task-gjqt",NA,35768523,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF01010"
"2",1709577897941,"04/03/2024 18:44:57",1709577897941,0,"04/03/2024 18:44:57",169741,4,"task-gjqt",NA,35768523,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",73525.799999997,73519,73525.799999997,73525.799999997,73519,73525.799999997,1,73525.799999997,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF01010"
"3",1709577897945,"04/03/2024 18:44:57",1709577897945,0,"04/03/2024 18:44:57",169741,4,"task-gjqt",NA,35768523,10572250,NA,"complete",NA,"65e6145c5ea714f6ca7020b0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x595",NA,NA,0,"BIQ (Charlotte)",3,"DECFBGAHJI","Passed AC2","","Chocking_second","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",60635.2,73519,73530.5,60635.2,73519,73530.5,1,60635.2,12895.3,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF01010"
