"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
1,1711571319607,"27/03/2024 20:28:39",1711571319607,0,"27/03/2024 20:28:39",172741,4,"questionnaire-xamc",NA,36540406,NA,"complete",NA,"660480e4f877d52fea84d69a","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF42873"
1,1711572372463,"27/03/2024 20:46:12",1711572372463,0,"27/03/2024 20:46:12",172741,4,"questionnaire-xamc",NA,36541031,NA,"complete",NA,"6604848b3df49eb93cbb0da9","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","",1,2,"SUPPRF66031"
1,1711578765785,"27/03/2024 22:32:45",1711564365785,-4,"27/03/2024 14:32:45",172741,4,"questionnaire-xamc",NA,36544336,NA,"complete",NA,"66049c9ec8f740173cb8ccd9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","",1,2,"SUPPRF30333"
1,1711588185546,"28/03/2024 01:09:45",1711588185546,0,"28/03/2024 01:09:45",172741,4,"questionnaire-xamc",NA,36546650,NA,"complete",NA,"6604c306731ef40aa3a101ac","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x599",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2","",1,2,"SUPPRF16639"
1,1711588661708,"28/03/2024 01:17:41",1711563461708,-7,"27/03/2024 11:17:41",172741,4,"questionnaire-xamc",NA,36546750,NA,"complete",NA,"6604c42ddbc494d0c67b03a7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1280x800","1280x713",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","",1,2,"SUPPRF41963"
1,1711613166142,"28/03/2024 08:06:06",1711613166142,0,"28/03/2024 08:06:06",172741,4,"questionnaire-xamc",NA,36550306,NA,"complete",NA,"66052372cfb07e6509b8ee0d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","",1,2,"SUPPRF33774"
1,1711637489954,"28/03/2024 14:51:29",1711637489954,0,"28/03/2024 14:51:29",172741,4,"questionnaire-xamc",NA,36571155,NA,"complete",NA,"6605836e4e6348ae5462556c","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1300x731","1300x580",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","",1,2,"SUPPRF69740"
1,1711655356401,"28/03/2024 19:49:16",1711655356401,0,"28/03/2024 19:49:16",172741,4,"questionnaire-xamc",NA,36580988,NA,"complete",NA,"6605c8ecfefbf874fc1ab799","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1098x618","1373x561",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","",1,2,"SUPPRF07750"
1,1711660255177,"28/03/2024 21:10:55",1711645855177,-4,"28/03/2024 13:10:55",172741,4,"questionnaire-xamc",NA,36584025,NA,"complete",NA,"6605dc5f395b11e58f227819","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","",1,2,"SUPPRF79175"
1,1711662648062,"28/03/2024 21:50:48",1711648248062,-4,"28/03/2024 13:50:48",172741,4,"questionnaire-xamc",NA,36585995,NA,"complete",NA,"6605e26ac624b5ffb8fd71f3","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","",1,2,"SUPPRF25358"
1,1711679004285,"29/03/2024 02:23:24",1711664604285,-4,"28/03/2024 18:23:24",172741,4,"questionnaire-xamc",NA,36590542,NA,"complete",NA,"660625bb119605ef6a2d3714","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1436x713",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","",1,2,"SUPPRF99995"
1,1711683630878,"29/03/2024 03:40:30",1711665630878,-5,"28/03/2024 17:40:30",172741,4,"questionnaire-xamc",NA,36591008,NA,"complete",NA,"660637c0e4856c1012c4e944","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Failed AC2","Passed AC1",1,2,"SUPPRF72262"
