"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
1,1711541627898,"27/03/2024 12:13:47",1711541627898,0,"27/03/2024 12:13:47",172741,4,"questionnaire-s6dh",NA,36503707,NA,"complete",NA,"66040d4247f16fca894020e7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1800x1169","1800x1004",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF24989"
1,1711571235740,"27/03/2024 20:27:15",1711571235740,0,"27/03/2024 20:27:15",172741,4,"questionnaire-s6dh",NA,36540351,NA,"complete",NA,"660480e4f877d52fea84d69a","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF42873"
1,1711572323575,"27/03/2024 20:45:23",1711572323575,0,"27/03/2024 20:45:23",172741,4,"questionnaire-s6dh",NA,36541001,NA,"complete",NA,"6604848b3df49eb93cbb0da9","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF66031"
1,1711578445020,"27/03/2024 22:27:25",1711564045020,-4,"27/03/2024 14:27:25",172741,4,"questionnaire-s6dh",NA,36544217,NA,"complete",NA,"66049c9ec8f740173cb8ccd9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF30333"
1,1711588127443,"28/03/2024 01:08:47",1711588127443,0,"28/03/2024 01:08:47",172741,4,"questionnaire-s6dh",NA,36546636,NA,"complete",NA,"6604c306731ef40aa3a101ac","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x599",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF16639"
1,1711588424054,"28/03/2024 01:13:44",1711563224054,-7,"27/03/2024 11:13:44",172741,4,"questionnaire-s6dh",NA,36546704,NA,"complete",NA,"6604c42ddbc494d0c67b03a7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1280x800","1280x713",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF41963"
1,1711613095384,"28/03/2024 08:04:55",1711613095384,0,"28/03/2024 08:04:55",172741,4,"questionnaire-s6dh",NA,36550286,NA,"complete",NA,"66052372cfb07e6509b8ee0d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x953",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF33774"
1,1711637431142,"28/03/2024 14:50:31",1711637431142,0,"28/03/2024 14:50:31",172741,4,"questionnaire-s6dh",NA,36571112,NA,"complete",NA,"6605836e4e6348ae5462556c","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1300x731","1300x580",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF69740"
1,1711655290298,"28/03/2024 19:48:10",1711655290298,0,"28/03/2024 19:48:10",172741,4,"questionnaire-s6dh",NA,36580951,NA,"complete",NA,"6605c8ecfefbf874fc1ab799","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1098x618","1373x561",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF07750"
1,1711660147353,"28/03/2024 21:09:07",1711645747353,-4,"28/03/2024 13:09:07",172741,4,"questionnaire-s6dh",NA,36583944,NA,"complete",NA,"6605dc5f395b11e58f227819","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF79175"
1,1711662336551,"28/03/2024 21:45:36",1711647936551,-4,"28/03/2024 13:45:36",172741,4,"questionnaire-s6dh",NA,36585841,NA,"complete",NA,"6605e26ac624b5ffb8fd71f3","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1366x768","1366x633",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF25358"
1,1711678934831,"29/03/2024 02:22:14",1711664534831,-4,"28/03/2024 18:22:14",172741,4,"questionnaire-s6dh",NA,36590526,NA,"complete",NA,"660625bb119605ef6a2d3714","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1436x713",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF99995"
1,1711683547135,"29/03/2024 03:39:07",1711665547135,-5,"28/03/2024 17:39:07",172741,4,"questionnaire-s6dh",NA,36591002,NA,"complete",NA,"660637c0e4856c1012c4e944","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Failed AC2","Passed AC1",1,1,1,1,1,1,1,1,1,1,1,"SUPPRF72262"
