"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"2",1690980716534,"02/08/2023 12:51:56",1690984316534,1,"02/08/2023 14:51:56",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",9519.648,9505.081,9519.648,9519.648,9505.081,9519.648,1,9519.648,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM66122"
"3",1690980718937,"02/08/2023 12:51:58",1690984318937,1,"02/08/2023 14:51:58",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",2417.641,2400.967,2417.641,2417.641,2400.967,2417.641,1,2417.641,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM66122"
"4",1690980723352,"02/08/2023 12:52:03",1690984323352,1,"02/08/2023 14:52:03",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",4433.6,4418.908,4433.6,4433.6,4418.908,4433.6,1,4433.6,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM66122"
"5",1690980728281,"02/08/2023 12:52:08",1690984328281,1,"02/08/2023 14:52:08",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",4943.39200000019,4936.17,4943.39200000019,4943.39200000019,4936.17,4943.39200000019,1,4943.39200000019,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM66122"
"6",1690980738826,"02/08/2023 12:52:18",1690984338826,1,"02/08/2023 14:52:18",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",10552.022,10538.514,10552.022,10552.022,10538.514,10552.022,1,10552.022,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPTM66122"
"7",1690980740280,"02/08/2023 12:52:20",1690984340280,1,"02/08/2023 14:52:20",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",1467.422,1450.748,1467.422,1467.422,1450.748,1467.422,1,1467.422,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPTM66122"
"8",1690980821444,"02/08/2023 12:53:41",1690984421444,1,"02/08/2023 14:53:41",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",81170.26,81158.535,81170.26,81170.26,81158.535,81170.26,1,81170.26,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPTM66122"
"9",1690980821457,"02/08/2023 12:53:41",1690984421457,1,"02/08/2023 14:53:41",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","You explained some of the picture's elements.",35351.669,81158.535,81175.209,35351.669,81158.535,81175.209,1,35351.669,45823.54,0,NA,"Text Entry","Text Entry",5,"object-38","Practice run",NA,"SUPTM66122"
"10",1690980821459,"02/08/2023 12:53:41",1690984421459,1,"02/08/2023 14:53:41",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"response","You described the scene okay.",62148.583,81158.535,81175.209,62148.583,81158.535,81175.209,1,62148.583,19026.626,0,NA,"Text Entry","Text Entry",6,"object-40","Practice run",NA,"SUPTM66122"
"11",1690980821468,"02/08/2023 12:53:41",1690984421468,1,"02/08/2023 14:53:41",139282,42,"task-w8vi",NA,31007028,9196981,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1241x697","1194x627",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","FGEHDICJBA",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM66122"
"1",1690961902333,"02/08/2023 07:38:22",1690965502333,1,"02/08/2023 09:38:22",139282,42,"task-w8vi",NA,30997158,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPTM46030"
"2",1690961971351,"02/08/2023 07:39:31",1690965571351,1,"02/08/2023 09:39:31",139282,42,"task-w8vi",NA,30997158,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",69048.857999994,69046.896,69048.857999994,69048.857999994,69046.896,69048.857999994,1,69048.857999994,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPTM46030"
"3",1690961972551,"02/08/2023 07:39:32",1690965572551,1,"02/08/2023 09:39:32",139282,42,"task-w8vi",NA,30997158,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",1202.17599999999,1185.38799999999,1202.17599999999,1202.17599999999,1185.38799999999,1202.17599999999,1,1202.17599999999,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPTM46030"
"4",1690961975841,"02/08/2023 07:39:35",1690965575841,1,"02/08/2023 09:39:35",139282,42,"task-w8vi",NA,30997158,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",3307.17400001788,3304.743,3307.17400001788,3307.17400001788,3304.743,3307.17400001788,1,3307.17400001788,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPTM46030"
"5",1690961978223,"02/08/2023 07:39:38",1690965578223,1,"02/08/2023 09:39:38",139282,42,"task-w8vi",NA,30997158,9195426,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1200x800","1200x651",NA,NA,NA,"Pre-Video Feedback Task (Clone)",6,"In","DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In","Spreadsheet1","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",2384.13100000596,2370.518,2384.13100000596,2384.13100000596,2370.518,2384.13100000596,1,2384.13100000596,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPTM46030"
