"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","branch.vlgf","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"11",1691496843965,"08/08/2023 12:14:03",1691500443965,1,"08/08/2023 14:14:03",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","Gave ideas that were going through their head, creates more imaginative response.",32734,45097,45099,32734,45097,45099,1,32734,12365,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"12",1691496843966,"08/08/2023 12:14:03",1691500443966,1,"08/08/2023 14:14:03",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Positive Feedback","Video","w2ir4b",1,"response","Described the situation well and gave interpretations of what could be happening.",9446,45097,45099,9446,45097,45099,1,9446,35653,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"13",1691496844942,"08/08/2023 12:14:04",1691500444942,1,"08/08/2023 14:14:04",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Positive Feedback","Fixation","mtm832",2,"continue","",979,979,979,979,979,979,1,979,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P2_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"14",1691496879801,"08/08/2023 12:14:39",1691500479801,1,"08/08/2023 14:14:39",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",34859,34852,34859,34859,34852,34859,1,34859,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"15",1691496879803,"08/08/2023 12:14:39",1691500479803,1,"08/08/2023 14:14:39",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","Talked about different things and not just one.",28636,34852,34859,28636,34852,34859,1,28636,6223,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"16",1691496879804,"08/08/2023 12:14:39",1691500479804,1,"08/08/2023 14:14:39",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Neutral Feedback","Screen 1","3zrml3",1,"response","They did OK, described the setting in brief description.",5466,34852,34859,5466,34852,34859,1,5466,29393,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"17",1691496880774,"08/08/2023 12:14:40",1691500480774,1,"08/08/2023 14:14:40",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,2,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",980,980,980,980,980,980,1,980,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P3_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"18",1691496917791,"08/08/2023 12:15:17",1691500517791,1,"08/08/2023 14:15:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"continue","",37017,37012,37017,37017,37012,37017,1,37017,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"19",1691496917793,"08/08/2023 12:15:17",1691500517793,1,"08/08/2023 14:15:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","Colour was talked about here, much more positive.",23767,37012,37018,23767,37012,37018,1,23767,13251,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"20",1691496917793,"08/08/2023 12:15:17",1691500517793,1,"08/08/2023 14:15:17",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Positive Feedback","Video","w2ir4b",1,"response","More detail given instead of 'many people', a number was given.",7334,37012,37018,7334,37012,37018,1,7334,29684,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"21",1691496918766,"08/08/2023 12:15:18",1691500518766,1,"08/08/2023 14:15:18",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Positive Feedback","Fixation","mtm832",2,"continue","",979,979,979,979,979,979,1,979,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P1_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"22",1691496961368,"08/08/2023 12:16:01",1691500561368,1,"08/08/2023 14:16:01",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",42603,42597,42603,42603,42597,42603,1,42603,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"23",1691496961370,"08/08/2023 12:16:01",1691500561370,1,"08/08/2023 14:16:01",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","Described what they were wearing, and a brief description of the setting though not alot.",28324,42597,42604,28324,42597,42604,1,28324,14280,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"24",1691496961371,"08/08/2023 12:16:01",1691500561371,1,"08/08/2023 14:16:01",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Neutral Feedback","Screen 1","3zrml3",1,"response","Described who was in the picture.",19330,42597,42604,19330,42597,42604,1,19330,23274,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"25",1691496962342,"08/08/2023 12:16:02",1691500562342,1,"08/08/2023 14:16:02",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,3,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",979,979,979,979,979,979,1,979,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P4_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"26",1691496991224,"08/08/2023 12:16:31",1691500591224,1,"08/08/2023 14:16:31",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"continue","",28883,28880,28883,28883,28880,28883,1,28883,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"27",1691496991226,"08/08/2023 12:16:31",1691500591226,1,"08/08/2023 14:16:31",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","Gave their own opinion on the picture.",18093,28880,28886,18093,28880,28886,1,18093,10793,0,NA,"Text Entry","Text Entry",4,"object-19","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"28",1691496991227,"08/08/2023 12:16:31",1691500591227,1,"08/08/2023 14:16:31",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Positive Feedback","Video","w2ir4b",1,"response","Lots more imagination and creativity in the response.",6800,28880,28886,6800,28880,28886,1,6800,22086,0,NA,"Text Entry","Text Entry",5,"object-20","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"29",1691496992200,"08/08/2023 12:16:32",1691500592200,1,"08/08/2023 14:16:32",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Positive Feedback","Fixation","mtm832",2,"continue","",979,979,979,979,979,979,1,979,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
"30",1691497028453,"08/08/2023 12:17:08",1691500628453,1,"08/08/2023 14:17:08",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",36252,36248,36252,36252,36248,36252,1,36252,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"31",1691497028454,"08/08/2023 12:17:08",1691500628454,1,"08/08/2023 14:17:08",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","Gave detailed descriptions of what people were doing relatively.",19267,36248,36255,19267,36248,36255,1,19267,16988,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"32",1691497028454,"08/08/2023 12:17:08",1691500628454,1,"08/08/2023 14:17:08",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","Described the emotions of the people in the photo.",9633,36248,36255,9633,36248,36255,1,9633,26622,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"33",1691497029428,"08/08/2023 12:17:09",1691500629428,1,"08/08/2023 14:17:09",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,4,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",980,980,980,980,980,980,1,980,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM81666"
"34",1691497074669,"08/08/2023 12:17:54",1691500674669,1,"08/08/2023 14:17:54",139282,42,"task-f6fg",NA,31101323,9218851,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1923x942","1920x941",NA,NA,NA,"Video Feedback Task (Clone)",6,"In","EFDGCHBIAJ",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","In",1,1,5,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",45241,45235,45241,45241,45235,45241,1,45241,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM81666"
