"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Social_Anxiety"
3,"SUPPRF94387",51,49,50,4,-13,60,63,46,1,"low"
4,"SUPPRF94387",56,50,83,19,12,62,71,64,1,"low"
5,"SUPPRF94387",56,48,56,-6,-15,80,71,62,1,"low"
6,"SUPPRF94387",56,49,47,-2,-16,67,63,49,1,"low"
7,"SUPPRF94387",48,58,41,-16,-13,80,54,57,1,"low"
8,"SUPPRF94387",49,55,62,8,-1,64,63,54,1,"low"
9,"SUPPRF94387",51,49,22,-21,-15,74,37,43,1,"low"
10,"SUPPRF94387",48,54,100,23,20,87,80,77,1,"low"
11,"SUPPRF94387",47,45,78,21,24,40,54,57,1,"low"
12,"SUPPRF94387",49,43,63,19,0,69,63,44,1,"low"
13,"SUPPRF94387",53,53,34,-13,-12,72,46,47,1,"low"
14,"SUPPRF94387",56,47,49,5,12,75,37,44,1,"low"
15,"SUPPRF94387",58,43,94,34,23,69,71,60,1,"low"
16,"SUPPRF94387",49,49,20,-23,0,42,20,43,1,"low"
17,"SUPPRF94387",54,38,67,-21,-13,68,80,88,1,"low"
18,"SUPPRF94387",57,46,55,-2,-16,55,71,57,1,"low"
19,"SUPPRF94387",60,44,35,12,15,80,20,23,1,"low"
20,"SUPPRF94387",53,45,68,-4,-12,55,80,72,1,"low"
21,"SUPPRF94387",44,49,66,7,12,63,54,59,1,"low"
22,"SUPPRF94387",45,47,47,21,27,72,20,26,1,"low"
23,"SUPPRF94387",44,48,16,-18,-13,64,29,34,1,"low"
24,"SUPPRF94387",56,46,88,30,25,57,63,58,1,"low"
25,"SUPPRF94387",57,45,33,-16,-13,60,46,49,1,"low"
26,"SUPPRF94387",46,37,19,4,-1,60,20,15,1,"low"
27,"SUPPRF94387",43,36,28,-3,-1,75,29,31,1,"low"
28,"SUPPRF94387",40,44,37,-4,0,58,37,41,1,"low"
29,"SUPPRF94387",42,48,46,1,0,74,46,45,1,"low"
30,"SUPPRF94387",46,39,54,-8,0,56,54,62,1,"low"
31,"SUPPRF94387",45,40,15,-16,-14,47,29,31,1,"low"
32,"SUPPRF94387",40,34,55,-1,1,58,54,56,1,"low"
33,"SUPPRF94387",51,40,81,8,1,60,80,73,1,"low"
34,"SUPPRF94387",51,42,75,27,29,67,46,48,1,"low"
35,"SUPPRF94387",49,42,70,15,-1,58,71,55,1,"low"
36,"SUPPRF94387",45,41,8,-14,-12,76,20,22,1,"low"
37,"SUPPRF94387",47,39,77,17,14,75,63,60,1,"low"
38,"SUPPRF94387",46,43,38,-20,1,63,37,58,1,"low"
39,"SUPPRF94387",49,37,61,19,24,74,37,42,1,"low"
40,"SUPPRF94387",46,38,96,21,16,81,80,75,1,"low"
41,"SUPPRF94387",51,42,71,34,0,40,71,37,1,"low"
42,"SUPPRF94387",45,41,80,8,0,70,80,72,1,"low"
43,"SUPPRF94387",50,42,24,-19,-13,70,37,43,1,"low"
44,"SUPPRF94387",47,38,38,-27,-16,66,54,65,1,"low"
45,"SUPPRF94387",44,52,29,-1,0,52,29,30,1,"low"
46,"SUPPRF94387",47,42,45,2,-1,61,46,43,1,"low"
47,"SUPPRF94387",33,41,6,-26,-14,70,20,32,1,"low"
48,"SUPPRF94387",39,47,58,26,29,67,29,32,1,"low"
1,"SUPPRF06891",48,46,47,30,-16,1,63,17,6,"high"
2,"SUPPRF06891",48,49,47,47,27,10,20,0,6,"high"
3,"SUPPRF06891",47,48,81,33,1,22,80,48,6,"high"
4,"SUPPRF06891",46,47,61,31,24,24,37,30,6,"high"
5,"SUPPRF06891",49,44,88,54,25,6,63,34,6,"high"
6,"SUPPRF06891",46,46,29,3,0,27,29,26,6,"high"
7,"SUPPRF06891",49,50,38,36,1,0,37,2,6,"high"
8,"SUPPRF06891",48,48,78,45,24,25,54,33,6,"high"
9,"SUPPRF06891",49,48,49,-2,12,8,37,51,6,"high"
10,"SUPPRF06891",49,48,71,12,0,21,71,59,6,"high"
11,"SUPPRF06891",50,46,33,-11,-13,30,46,44,6,"high"
12,"SUPPRF06891",45,50,46,5,0,34,46,41,6,"high"
13,"SUPPRF06891",49,50,75,30,29,37,46,45,6,"high"
14,"SUPPRF06891",50,48,41,13,-13,0,54,28,6,"high"
15,"SUPPRF06891",48,50,58,38,29,1,29,20,6,"high"
16,"SUPPRF06891",50,46,54,29,0,2,54,25,6,"high"
17,"SUPPRF06891",49,47,45,9,-1,2,46,36,6,"high"
18,"SUPPRF06891",36,38,22,2,-15,1,37,20,6,"high"
19,"SUPPRF06891",41,33,100,77,20,43,80,23,6,"high"
20,"SUPPRF06891",46,30,8,-12,-12,28,20,20,6,"high"
21,"SUPPRF06891",42,25,46,30,17,10,29,16,6,"high"
22,"SUPPRF06891",49,37,63,1,0,49,63,62,6,"high"
23,"SUPPRF06891",48,35,77,77,14,45,63,0,6,"high"
24,"SUPPRF06891",49,36,37,-13,0,0,37,50,6,"high"
25,"SUPPRF06891",45,28,24,-24,-13,0,37,48,6,"high"
26,"SUPPRF06891",34,30,55,6,1,1,54,49,6,"high"
27,"SUPPRF06891",36,28,35,-12,15,1,20,47,6,"high"
28,"SUPPRF06891",45,26,55,30,-16,0,71,25,6,"high"
29,"SUPPRF06891",50,34,16,-16,-13,1,29,32,6,"high"
30,"SUPPRF06891",46,28,67,43,-13,1,80,24,6,"high"
31,"SUPPRF06891",47,26,83,53,12,1,71,30,6,"high"
32,"SUPPRF06891",51,30,80,3,0,49,80,77,6,"high"
33,"SUPPRF06891",49,28,70,70,-1,1,71,0,6,"high"
34,"SUPPRF06891",47,26,20,20,0,1,20,0,6,"high"
35,"SUPPRF06891",48,32,58,29,12,43,46,29,6,"high"
36,"SUPPRF06891",50,21,6,-17,-14,0,20,23,6,"high"
37,"SUPPRF06891",50,27,94,94,23,0,71,0,6,"high"
38,"SUPPRF06891",49,20,50,49,-13,0,63,1,6,"high"
39,"SUPPRF06891",51,23,15,3,-14,1,29,12,6,"high"
40,"SUPPRF06891",48,12,68,59,-12,2,80,9,6,"high"
41,"SUPPRF06891",48,19,19,4,-1,0,20,15,6,"high"
42,"SUPPRF06891",48,17,62,59,-1,1,63,3,6,"high"
43,"SUPPRF06891",50,21,56,54,-15,1,71,2,6,"high"
44,"SUPPRF06891",42,14,28,15,-1,2,29,13,6,"high"
45,"SUPPRF06891",50,23,38,27,-16,41,54,11,6,"high"
46,"SUPPRF06891",50,22,96,17,16,49,80,79,6,"high"
47,"SUPPRF06891",48,21,66,66,12,1,54,0,6,"high"
48,"SUPPRF06891",47,18,34,33,-12,0,46,1,6,"high"
1,"SUPPRF35199",43,13,8,-26,-12,62,20,34,7,"high"
2,"SUPPRF35199",46,40,77,19,14,56,63,58,7,"high"
3,"SUPPRF35199",36,50,58,22,29,55,29,36,7,"high"
4,"SUPPRF35199",55,47,62,8,-1,57,63,54,7,"high"
5,"SUPPRF35199",51,53,6,-25,-14,51,20,31,7,"high"
6,"SUPPRF35199",52,61,88,32,25,70,63,56,7,"high"
7,"SUPPRF35199",53,59,46,5,0,44,46,41,7,"high"
8,"SUPPRF35199",98,54,100,37,20,73,80,63,7,"high"
9,"SUPPRF35199",56,53,61,25,24,44,37,36,7,"high"
10,"SUPPRF35199",56,58,96,18,16,81,80,78,7,"high"
11,"SUPPRF35199",53,55,20,-25,0,43,20,45,7,"high"
12,"SUPPRF35199",56,55,33,3,-13,60,46,30,7,"high"
13,"SUPPRF35199",61,56,50,-29,-13,79,63,79,7,"high"
14,"SUPPRF35199",55,55,34,-11,-12,67,46,45,7,"high"
15,"SUPPRF35199",55,61,70,2,-1,71,71,68,7,"high"
16,"SUPPRF35199",57,56,71,7,0,62,71,64,7,"high"
17,"SUPPRF35199",60,57,46,13,17,54,29,33,7,"high"
18,"SUPPRF35199",53,53,66,10,12,59,54,56,7,"high"
19,"SUPPRF35199",56,59,47,-22,-16,65,63,69,7,"high"
20,"SUPPRF35199",54,54,37,1,0,49,37,36,7,"high"
21,"SUPPRF35199",54,58,56,2,-15,55,71,54,7,"high"
22,"SUPPRF35199",57,59,28,-5,-1,62,29,33,7,"high"
23,"SUPPRF35199",63,58,94,32,23,62,71,62,7,"high"
24,"SUPPRF35199",63,54,19,-9,-1,46,20,28,7,"high"
25,"SUPPRF35199",66,60,45,1,-1,48,46,44,7,"high"
26,"SUPPRF35199",64,63,58,-1,12,58,46,59,7,"high"
27,"SUPPRF35199",65,65,80,2,0,60,80,78,7,"high"
28,"SUPPRF35199",60,59,81,10,1,65,80,71,7,"high"
29,"SUPPRF35199",60,57,22,-19,-15,56,37,41,7,"high"
30,"SUPPRF35199",61,59,63,2,0,57,63,61,7,"high"
31,"SUPPRF35199",67,67,35,21,15,65,20,14,7,"high"
32,"SUPPRF35199",68,69,83,22,12,70,71,61,7,"high"
