"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"105",1689012290750,"10/07/2023 18:04:50",1689015890750,1,"10/07/2023 20:04:50",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",13,"V","Valence","xyoebq",1,"response","20",606.956999999995,2439.864,2442.88800004768,606.956999999995,2439.864,2442.88800004768,1,606.956999999995,1835.93100004768,0,NA,"Slider","J",3,"object-27","V","CFD-WM-009-002-N.jpg",NA,"SUPTM31721"
"106",1689012291732,"10/07/2023 18:04:51",1689015891732,1,"10/07/2023 20:04:51",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",13,"V","Fixation","68owkj",2,"continue","",983.469999999987,983.469999999987,983.469999999987,983.469999999987,983.469999999987,983.469999999987,1,983.469999999987,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-WM-009-002-N.jpg",NA,"SUPTM31721"
"107",1689012294609,"10/07/2023 18:04:54",1689015894609,1,"10/07/2023 20:04:54",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",14,"V","Valence","xyoebq",1,"continue","",2878.45400002385,2874.40700000001,2878.45400002385,2878.45400002385,2874.40700000001,2878.45400002385,1,2878.45400002385,0,0,NA,"Click To Continue","Continue Button",1,"object-25","V","CFD-IF-734-108-N.jpg",NA,"SUPTM31721"
"108",1689012294613,"10/07/2023 18:04:54",1689015894613,1,"10/07/2023 20:04:54",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",14,"V","Valence","xyoebq",1,"response","59",2360.625,2874.40700000001,2881.542,2360.625,2874.40700000001,2881.542,1,2360.625,520.917000000001,0,NA,"Slider","J",3,"object-27","V","CFD-IF-734-108-N.jpg",NA,"SUPTM31721"
"109",1689012295593,"10/07/2023 18:04:55",1689015895593,1,"10/07/2023 20:04:55",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",14,"V","Fixation","68owkj",2,"continue","",986.686000000002,986.686000000002,986.686000000002,986.686000000002,986.686000000002,986.686000000002,1,986.686000000002,0,0,NA,"Fixation Timing","Fixation",1,"object-21","V","CFD-IF-734-108-N.jpg",NA,"SUPTM31721"
"110",1689012299402,"10/07/2023 18:04:59",1689015899402,1,"10/07/2023 20:04:59",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",23,"J","Judginess","y8ii7g",1,"continue","",3809.56100007152,3806.391,3809.56100007152,3809.56100007152,3806.391,3809.56100007152,1,3809.56100007152,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-IF-734-108-S.jpeg",NA,"SUPTM31721"
"111",1689012299402,"10/07/2023 18:04:59",1689015899402,1,"10/07/2023 20:04:59",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",23,"J","Judginess","y8ii7g",1,"response","46",2863.807,3806.391,3809.86100002384,2863.807,3806.391,3809.86100002384,1,2863.807,946.05400002384,0,NA,"Slider","J",3,"object-18","J","CFD-IF-734-108-S.jpeg",NA,"SUPTM31721"
"112",1689012300379,"10/07/2023 18:05:00",1689015900379,1,"10/07/2023 20:05:00",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",23,"J","Fixation","w9zir9",2,"continue","",979.093999999983,979.093999999983,979.093999999983,979.093999999983,979.093999999983,979.093999999983,1,979.093999999983,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-IF-734-108-S.jpeg",NA,"SUPTM31721"
"113",1689012304257,"10/07/2023 18:05:04",1689015904257,1,"10/07/2023 20:05:04",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",24,"J","Judginess","y8ii7g",1,"continue","",3879.4760000477,3873.83100000001,3879.4760000477,3879.4760000477,3873.83100000001,3879.4760000477,1,3879.4760000477,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WF-017-003-S.jpeg",NA,"SUPTM31721"
"114",1689012304257,"10/07/2023 18:05:04",1689015904257,1,"10/07/2023 20:05:04",137495,33,"task-wuat",NA,30601717,9085742,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,NA,"JV Task P3 (Updated)",4,"Anxious",NA,"In",NA,NA,"EFDGCHBIAJK",NA,NA,"B (MDot First)",2,123,"SS1","SS1",24,"J","Judginess","y8ii7g",1,"response","0",3147.08000000002,3873.83100000001,3879.77600000001,3147.08000000002,3873.83100000001,3879.77600000001,1,3147.08000000002,732.695999999996,0,NA,"Slider","J",3,"object-18","J","CFD-WF-017-003-S.jpeg",NA,"SUPTM31721"
