"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Spreadsheet..P","Spreadsheet..N","Manipulation..Spreadsheet","Random_ID"
"29",1689013970969,"10/07/2023 18:32:50",1689017570969,1,"10/07/2023 20:32:50",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Positive Feedback","Fixation","mtm832",2,"continue","",967.186999999918,967.186999999918,967.186999999918,967.186999999918,967.186999999918,967.186999999918,1,967.186999999918,0,0,NA,"Fixation Timing","Fixation",1,"object-65","Positive Feedback","P3_P.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"30",1689014004754,"10/07/2023 18:33:24",1689017604754,1,"10/07/2023 20:33:24",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",33784.9549999523,33780.22,33784.9549999523,33784.9549999523,33780.22,33784.9549999523,1,33784.9549999523,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"31",1689014004758,"10/07/2023 18:33:24",1689017604758,1,"10/07/2023 20:33:24",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","she just explains what she sees",22497.8570000001,33780.22,33788.4549999523,22497.8570000001,33780.22,33788.4549999523,1,22497.8570000001,11290.5979999523,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"32",1689014004758,"10/07/2023 18:33:24",1689017604758,1,"10/07/2023 20:33:24",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person gives a fairly basic and objective description ",7165.49900000007,33780.22,33788.8549998093,7165.49900000007,33780.22,33788.8549998093,1,7165.49900000007,26623.3559998092,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"33",1689014005717,"10/07/2023 18:33:25",1689017605717,1,"10/07/2023 20:33:25",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,4,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",966.883000000031,966.883000000031,966.883000000031,966.883000000031,966.883000000031,966.883000000031,1,966.883000000031,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P5_N.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.02.01.png",NA,"SUPTM34679"
"34",1689014057530,"10/07/2023 18:34:17",1689017657530,1,"10/07/2023 20:34:17",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,5,"Neutral Feedback","Screen 1","3zrml3",1,"continue","",51812.564,51795.922,51812.564,51812.564,51795.922,51812.564,1,51812.564,0,0,NA,"Click To Continue","Continue Button",1,"object-155","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"35",1689014057533,"10/07/2023 18:34:17",1689017657533,1,"10/07/2023 20:34:17",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,5,"Neutral Feedback","Screen 1","3zrml3",1,"response","she effectively describes the scene without giving extra detail ",34547.282,51795.922,51812.564,34547.282,51795.922,51812.564,1,34547.282,17265.282,0,NA,"Text Entry","Text Entry",4,"object-158","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"36",1689014057533,"10/07/2023 18:34:17",1689017657533,1,"10/07/2023 20:34:17",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,5,"Neutral Feedback","Screen 1","3zrml3",1,"response","the person gives a fairly neutral description of what see sees",16065.193,51795.922,51812.564,16065.193,51795.922,51812.564,1,16065.193,35747.371,0,NA,"Text Entry","Text Entry",5,"object-159","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"37",1689014058480,"10/07/2023 18:34:18",1689017658480,1,"10/07/2023 20:34:18",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,5,"Neutral Feedback","Screen 2","vv4mhq",2,"continue","",967.094000000041,967.094000000041,967.094000000041,967.094000000041,967.094000000041,967.094000000041,1,967.094000000041,0,0,NA,"Fixation Timing","Fixation",1,"object-153","Neutral Feedback","P1_N.mp4","Screenshot 2023-06-30 at 15.01.08.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
"38",1689014108115,"10/07/2023 18:35:08",1689017708115,1,"10/07/2023 20:35:08",137495,33,"task-175m",NA,30601956,9085792,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1707x960","1707x809",NA,NA,NA,"Video Feedback Task",13,"NonAnxious",NA,"In","B",NA,"FGEHDICJBKA","A",NA,NA,NA,NA,1,1,5,"Positive Feedback","Video","w2ir4b",1,"continue","",49635.6359999046,49627.6379999999,49635.6359999046,49635.6359999046,49627.6379999999,49635.6359999046,1,49635.6359999046,0,0,NA,"Click To Continue","Continue Button",1,"object-14","Positive Feedback","P4_P.mp4","Screenshot 2023-06-30 at 15.00.42.png","Screenshot 2023-06-30 at 15.00.55.png",NA,"SUPTM34679"
