"","Submission.id","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Current.uk.area.of.residence","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"100","64dcecf2571803aaf952ef5f","APPROVED","2023-08-16T15:36:26.003000Z","2023-08-16T16:42:28.775000Z","2023-08-17T16:41:20.625000Z","2023-08-16T16:42:29.816000Z",3963,"C18Q2QU1",585,"Scotland","English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time","Not Applicable","SUPPRF01588"
"101","64dd297fdd1a9cc9afa673f8","APPROVED","2023-08-16T19:57:05.936000Z","2023-08-16T20:33:46.685000Z","2023-08-17T16:41:22.100000Z","2023-08-16T20:33:56.815000Z",2201,"C18Q2QU1",632,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","Not Applicable","SUPPRF36650"
"102","64de2cb7ebaf7c001ec7e37a","APPROVED","2023-08-17T14:20:39.668000Z","2023-08-17T15:05:30.316000Z","2023-08-17T16:41:24.393000Z","2023-08-17T15:05:31.177000Z",2691,"C18Q2QU1",845,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)","Dutch, English, German, Spanish, French, Japanese","23","Male","White","Netherlands","United Kingdom","United Kingdom","Dutch","Yes","Full-Time","Not Applicable","SUPPRF73191"
"103","64df66dd18f0e4168f29a35f","APPROVED","2023-08-18T12:41:03.863000Z","2023-08-18T13:12:47.579000Z","2023-09-08T00:00:10.211000Z","2023-08-18T13:12:51.579000Z",1904,"C18Q2QU1",1433,"London, England ","English, Polish","26","Female","White","Poland","United Kingdom","Poland","Polish","No","Full-Time","Not Applicable","SUPPRF05489"
"104","64e0bcd5bf3ef3ff724048a9","APPROVED","2023-08-19T13:00:10.012000Z","2023-08-19T13:29:37.385000Z","2023-09-08T16:44:35.206000Z","2023-08-19T13:29:38.217000Z",1768,"C18Q2QU1",270,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)","English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF88097"
"105","64e252d5b92f3bcf49791cfd","APPROVED","2023-08-20T17:52:25.509000Z","2023-08-20T18:39:03.712000Z","2023-09-08T16:44:38.456000Z","2023-08-20T18:39:04.548000Z",2799,"C18Q2QU1",625,"London, England ","Arabic, English","22","Female","Other","United Kingdom","United Kingdom","United Kingdom","Arabic","Yes","Full-Time","Not Applicable","SUPPRF06732"
"106","64e32be7ed0d2f797828c1a4","APPROVED","2023-08-21T09:18:33.752000Z","2023-08-21T10:02:00.881000Z","2023-09-08T16:44:38Z","2023-08-21T10:02:01.723000Z",2608,"C18Q2QU1",550,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)","English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","Not Applicable","SUPPRF05565"
"107","64e4fc72a6b2df27331b7045","APPROVED","2023-08-22T18:20:42.392000Z","2023-08-22T19:01:58.346000Z","2023-09-08T16:44:37.144000Z","2023-08-22T19:03:34.762000Z",2476,"C18Q2QU1",552,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","English, Welsh","22","Prefer not to say","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","SUPPRF42249"
"108","64ea0abb4fcce2d50f284df2","APPROVED","2023-08-26T14:22:57.275000Z","2023-08-26T14:46:59.051000Z","2023-09-08T16:44:40.137000Z","2023-08-26T14:46:59.812000Z",1442,"C18Q2QU1",936,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","Not Applicable","SUPPRF79831"
"109","64ea39f32f86c94c9af361b5","APPROVED","2023-08-26T17:44:23.982000Z","2023-08-26T18:30:16.644000Z","2023-09-08T16:44:41.716000Z","2023-08-26T18:30:19.147000Z",2753,"C18Q2QU1",571,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","Not Applicable","SUPPRF14738"
"110","64ec9ceab0ce5040c12ad22a","APPROVED","2023-08-28T13:14:07.773000Z","2023-08-28T13:50:25.628000Z","2023-09-08T16:44:43.100000Z","2023-08-28T13:50:28.373000Z",2178,"C18Q2QU1",677,"London, England ","English","26","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF13138"
"111","64eceed14556d1516f0479e9","APPROVED","2023-08-28T19:00:36.235000Z","2023-08-28T19:23:26.069000Z","2023-09-08T16:44:44.759000Z","2023-08-28T19:25:45.274000Z",1370,"C18Q2QU1",2238,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","SUPPRF20104"
