"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Index","Spreadsheet..X1","Spreadsheet..X2","Spreadsheet..Display","Spreadsheet..test_response_save","Manipulation..Spreadsheet","Store..test_response_save","Random_ID"
"1599",94,1692198419927,"16/08/2023 15:06:59",1692202019927,1,"16/08/2023 17:06:59",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",46,"Task","Screen 1","113qg5",1,"response","You're very articulate.",3899.50600004767,3882.94699999999,3899.50600004767,3899.50600004767,3882.94699999999,3899.50600004767,1,3899.50600004767,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You're very articulate.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
"1600",95,1692198421678,"16/08/2023 15:07:01",1692202021678,1,"16/08/2023 17:07:01",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",46,"Task","Screen 3","izqege",2,"continue","",1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1,1766.47700000001,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You're very articulate.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
"1601",96,1692198423428,"16/08/2023 15:07:03",1692202023428,1,"16/08/2023 17:07:03",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",47,"Task","Screen 1","113qg5",1,"response","You are really engaging when you speak.",1749.69599999994,1733.08999999997,1749.69599999994,1749.69599999994,1733.08999999997,1749.69599999994,1,1749.69599999994,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You are really engaging when you speak.","That was decent.","Task",NA,NA,NA,"SUPPRF01588"
"1602",97,1692198425177,"16/08/2023 15:07:05",1692202025177,1,"16/08/2023 17:07:05",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",47,"Task","Screen 3","izqege",2,"continue","",1766.54200000002,1766.54200000002,1766.54200000002,1766.54200000002,1766.54200000002,1766.54200000002,1,1766.54200000002,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You are really engaging when you speak.","That was decent.","Task",NA,NA,NA,"SUPPRF01588"
"1603",98,1692198426761,"16/08/2023 15:07:06",1692202026761,1,"16/08/2023 17:07:06",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",48,"Task","Screen 1","113qg5",1,"response","You seemed very in-control.",1583.00599999999,1566.41800000001,1583.00599999999,1583.00599999999,1566.41800000001,1583.00599999999,1,1583.00599999999,0,0,NA,"Click Response","Text_right_X2",3,"object-19",NA,1,"That was satisfactory.","You seemed very in-control.","Task",NA,NA,NA,"SUPPRF01588"
"1604",99,1692198428510,"16/08/2023 15:07:08",1692202028510,1,"16/08/2023 17:07:08",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",48,"Task","Screen 3","izqege",2,"continue","",1766.56599999999,1766.56599999999,1766.56599999999,1766.56599999999,1766.56599999999,1766.56599999999,1,1766.56599999999,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"That was satisfactory.","You seemed very in-control.","Task",NA,NA,NA,"SUPPRF01588"
"1605",100,1692198431110,"16/08/2023 15:07:11",1692202031110,1,"16/08/2023 17:07:11",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",49,"Task","Screen 1","113qg5",1,"response","You are really engaging when you speak.",2599.73499999999,2583.06699999998,2599.73499999999,2599.73499999999,2583.06699999998,2599.73499999999,1,2599.73499999999,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You are really engaging when you speak.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
"1606",101,1692198432860,"16/08/2023 15:07:12",1692202032860,1,"16/08/2023 17:07:12",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",49,"Task","Screen 3","izqege",2,"continue","",1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1766.47700000001,1,1766.47700000001,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You are really engaging when you speak.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
"1607",102,1692198434444,"16/08/2023 15:07:14",1692202034444,1,"16/08/2023 17:07:14",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",50,"Task","Screen 1","113qg5",1,"response","You appear very smart.",1583.16600000003,1566.50300000003,1583.16600000003,1583.16600000003,1566.50300000003,1583.16600000003,1,1583.16600000003,0,0,NA,"Click Response","Text_left_X1",2,"object-18",NA,1,"You appear very smart.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
"1608",103,1692198436194,"16/08/2023 15:07:16",1692202036194,1,"16/08/2023 17:07:16",140743,17,"task-5vg1",NA,31222297,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Feedback Phrases Task - List 2 (Clone with new randomisation)",4,"HIGJFAEBDC",NA,"study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Feedback Phrases List 2",50,"Task","Screen 3","izqege",2,"continue","",1766.48300000001,1766.48300000001,1766.48300000001,1766.48300000001,1766.48300000001,1766.48300000001,1,1766.48300000001,0,0,NA,"Fixation Timing","Fixation Cross",1,"object-48",NA,1,"You appear very smart.","Excellent!","Task",NA,NA,NA,"SUPPRF01588"
