"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"11",1714567164517,"01/05/2024 12:39:24",1714570764517,1,"01/05/2024 14:39:24",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",6151.3,12763,12766.5000000004,6151.3,12763,12766.5000000004,1,6151.3,6615.20000000038,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO24387"
"12",1714567164517,"01/05/2024 12:39:24",1714570764517,1,"01/05/2024 14:39:24",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",8436,12763,12766.6,8436,12763,12766.6,1,8436,4330.6,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO24387"
"13",1714567164517,"01/05/2024 12:39:24",1714570764517,1,"01/05/2024 14:39:24",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","3",11763.1,12763,12766.7000000001,11763.1,12763,12766.7000000001,1,11763.1,1003.60000000009,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO24387"
"14",1714567164520,"01/05/2024 12:39:24",1714570764520,1,"01/05/2024 14:39:24",177048,7,"task-vy7n",NA,37380449,11023113,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1920x1080","1920x991",NA,NA,0,"BIQ-A",3,"ABHCGDFE","Passed AC2",NA,"spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO24387"
"1",1714749955336,"03/05/2024 15:25:55",1714753555336,1,"03/05/2024 17:25:55",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO46030"
"2",1714750005418,"03/05/2024 15:26:45",1714753605418,1,"03/05/2024 17:26:45",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",50077.9,50061.2,50077.9,50077.9,50061.2,50077.9,1,50077.9,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO46030"
"3",1714750005426,"03/05/2024 15:26:45",1714753605426,1,"03/05/2024 17:26:45",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",29735.2,50061.2,50077.9,29735.2,50061.2,50077.9,1,29735.2,20342.7,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO46030"
"4",1714750005427,"03/05/2024 15:26:45",1714753605427,1,"03/05/2024 17:26:45",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",37721.5,50061.2,50077.9,37721.5,50061.2,50077.9,1,37721.5,12356.4,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO46030"
"5",1714750005428,"03/05/2024 15:26:45",1714753605428,1,"03/05/2024 17:26:45",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",42345.3,50061.2,50077.9,42345.3,50061.2,50077.9,1,42345.3,7732.60000000001,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO46030"
"6",1714750041397,"03/05/2024 15:27:21",1714753641397,1,"03/05/2024 17:27:21",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",36014.1999999999,36001.9,36014.1999999999,36014.1999999999,36001.9,36014.1999999999,1,36014.1999999999,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO46030"
"7",1714750041401,"03/05/2024 15:27:21",1714753641401,1,"03/05/2024 17:27:21",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",16668.3,36001.9,36018.4999999999,16668.3,36001.9,36018.4999999999,1,16668.3,19350.1999999999,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO46030"
"8",1714750041403,"03/05/2024 15:27:21",1714753641403,1,"03/05/2024 17:27:21",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",23416.3,36001.9,36018.6,23416.3,36001.9,36018.6,1,23416.3,12602.3,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO46030"
"9",1714750041404,"03/05/2024 15:27:21",1714753641404,1,"03/05/2024 17:27:21",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",26619.5,36001.9,36018.6,26619.5,36001.9,36018.6,1,26619.5,9399.10000000001,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO46030"
"10",1714750054620,"03/05/2024 15:27:34",1714753654620,1,"03/05/2024 17:27:34",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",13235.2,13229.9,13235.2,13235.2,13229.9,13235.2,1,13235.2,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO46030"
"11",1714750054625,"03/05/2024 15:27:34",1714753654625,1,"03/05/2024 17:27:34",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",4765.7,13229.9,13240.0999999999,4765.7,13229.9,13240.0999999999,1,4765.7,8474.39999999991,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO46030"
"12",1714750054626,"03/05/2024 15:27:34",1714753654626,1,"03/05/2024 17:27:34",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",6954.09999999999,13229.9,13240.9999999998,6954.09999999999,13229.9,13240.9999999998,1,6954.09999999999,6286.89999999982,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO46030"
"13",1714750054627,"03/05/2024 15:27:34",1714753654627,1,"03/05/2024 17:27:34",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",11553.3,13229.9,13241.9999999998,11553.3,13229.9,13241.9999999998,1,11553.3,1688.69999999981,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO46030"
"14",1714750054635,"03/05/2024 15:27:34",1714753654635,1,"03/05/2024 17:27:34",177048,7,"task-vy7n",NA,37443458,11039663,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"BCADHEGF","Passed AC2",NA,"spreadsheet_3","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO46030"
"1",1715175224153,"08/05/2024 13:33:44",1715178824153,1,"08/05/2024 15:33:44",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO52921"
"2",1715175275430,"08/05/2024 13:34:35",1715178875430,1,"08/05/2024 15:34:35",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",51284.1839999999,51270.584,51284.1839999999,51284.1839999999,51270.584,51284.1839999999,1,51284.1839999999,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO52921"
"3",1715175275432,"08/05/2024 13:34:35",1715178875432,1,"08/05/2024 15:34:35",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",16878.984,51270.584,51286.784,16878.984,51270.584,51286.784,1,16878.984,34407.8,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPSCO52921"
"4",1715175275432,"08/05/2024 13:34:35",1715178875432,1,"08/05/2024 15:34:35",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",34074.784,51270.584,51286.784,34074.784,51270.584,51286.784,1,34074.784,17212,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPSCO52921"
"5",1715175275432,"08/05/2024 13:34:35",1715178875432,1,"08/05/2024 15:34:35",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",49820.784,51270.584,51286.784,49820.784,51270.584,51286.784,1,49820.784,1466.00000000001,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPSCO52921"
"6",1715175314257,"08/05/2024 13:35:14",1715178914257,1,"08/05/2024 15:35:14",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",38842.3000000001,38840,38842.3000000001,38842.3000000001,38840,38842.3000000001,1,38842.3000000001,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPSCO52921"
"7",1715175314261,"08/05/2024 13:35:14",1715178914261,1,"08/05/2024 15:35:14",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",9930.39999999999,38840,38846.4,9930.39999999999,38840,38846.4,1,9930.39999999999,28916,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO52921"
"8",1715175314261,"08/05/2024 13:35:14",1715178914261,1,"08/05/2024 15:35:14",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",19028.2,38840,38847.0999999999,19028.2,38840,38847.0999999999,1,19028.2,19818.8999999999,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO52921"
"9",1715175314262,"08/05/2024 13:35:14",1715178914262,1,"08/05/2024 15:35:14",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",38023.5,38840,38847.5999999999,38023.5,38840,38847.5999999999,1,38023.5,824.099999999904,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO52921"
"10",1715175348507,"08/05/2024 13:35:48",1715178948507,1,"08/05/2024 15:35:48",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",34253.0999999999,34241.5,34253.0999999999,34253.0999999999,34241.5,34253.0999999999,1,34253.0999999999,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO52921"
"11",1715175348512,"08/05/2024 13:35:48",1715178948512,1,"08/05/2024 15:35:48",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",18411.9,34241.5,34257.7,18411.9,34241.5,34257.7,1,18411.9,15845.8,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO52921"
"12",1715175348513,"08/05/2024 13:35:48",1715178948513,1,"08/05/2024 15:35:48",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",23677.2,34241.5,34258.4,23677.2,34241.5,34258.4,1,23677.2,10581.2,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO52921"
"13",1715175348513,"08/05/2024 13:35:48",1715178948513,1,"08/05/2024 15:35:48",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",32475.2,34241.5,34258.4,32475.2,34241.5,34258.4,1,32475.2,1783.20000000001,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO52921"
"14",1715175348517,"08/05/2024 13:35:48",1715178948517,1,"08/05/2024 15:35:48",177048,7,"task-vy7n",NA,37553652,11067424,NA,"complete",NA,"computer","Desktop or Laptop","Windows 10","Chrome 124.0.0.0","1280x720","1280x585",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2",NA,"spreadsheet_5","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO52921"
