"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1698405878050,"27/10/2023 11:24:38",1698409478050,1,"27/10/2023 13:24:38",147683,3,"questionnaire-wop8",NA,32528945,9627067,NA,"complete",NA,"653b9bf465a41b0a85fdbf9a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1-0","1","SUPPRF06979"
"1",1698405974263,"27/10/2023 11:26:14",1698409574263,1,"27/10/2023 13:26:14",147683,3,"questionnaire-wop8",NA,32529015,9627055,NA,"complete",NA,"653b9b91fc6155220cdbeeff","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2",NA,"1-0","1","SUPPRF59066"
"1",1698406025187,"27/10/2023 11:27:05",1698409625187,1,"27/10/2023 13:27:05",147683,3,"questionnaire-wop8",NA,32529046,9627085,NA,"complete",NA,"653b9c97254098f975d05ec8","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1707x795",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2",NA,"1-0","1","SUPPRF09587"
"1",1698406537965,"27/10/2023 11:35:37",1698410137965,1,"27/10/2023 13:35:37",147683,3,"questionnaire-wop8",NA,32529276,9627027,NA,"complete",NA,"653b98f50551989304b5c57a","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5","820x1180","820x1073",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1-0","1","SUPPRF83022"
"1",1698406600602,"27/10/2023 11:36:40",1698410200602,1,"27/10/2023 13:36:40",147683,3,"questionnaire-wop8",NA,32529318,9627096,NA,"complete",NA,"653b9ccf4857efbab3df71cf","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1-0","1","SUPPRF55556"
"1",1698406863944,"27/10/2023 11:41:03",1698410463944,1,"27/10/2023 13:41:03",147683,3,"questionnaire-wop8",NA,32529456,9627158,NA,"complete",NA,"653b9dcae3e30f77caec52d3","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.57","1280x720","1272x606",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2",NA,"1-0","1","SUPPRF37610"
"1",1698406970497,"27/10/2023 11:42:50",1698414170497,2,"27/10/2023 15:42:50",147683,3,"questionnaire-wop8",NA,32529488,9627063,NA,"complete",NA,"653b9a6d27a11e1a71e3863b","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.61","1920x1080","1912x976",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1-0","1","SUPPRF75783"
"1",1698407165008,"27/10/2023 11:46:05",1698410765008,1,"27/10/2023 13:46:05",147683,3,"questionnaire-wop8",NA,32529586,9627098,NA,"complete",NA,"653b9cdb949e8d06a644a9c9","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1360x768","1360x651",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2",NA,"1-0","1","SUPPRF84283"
"1",1698407688969,"27/10/2023 11:54:48",1698411288969,1,"27/10/2023 13:54:48",147683,3,"questionnaire-wop8",NA,32529792,9627239,NA,"complete",NA,"653b9ae947af1504681ac9c2","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x923",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1-0","1","SUPPRF61088"
"1",1698408697541,"27/10/2023 12:11:37",1698412297541,1,"27/10/2023 14:11:37",147683,3,"questionnaire-wop8",NA,32530082,9627100,NA,"complete",NA,"653b9bf45ae38b9c2168dd62","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1500x1000","1500x883",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1-0","1","SUPPRF94460"
"1",1698413063552,"27/10/2023 13:24:23",1698395063552,-5,"27/10/2023 03:24:23",147683,3,"questionnaire-wop8",NA,32531486,9627798,NA,"complete",NA,"653bb84059c92c4b9f32f1eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","748x589",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1-0","1","SUPPRF78461"
"1",1698413155391,"27/10/2023 13:25:55",1698416755391,1,"27/10/2023 15:25:55",147683,3,"questionnaire-wop8",NA,32531525,9627791,NA,"complete",NA,"653bb7e416b794d45af6803b","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","934x787",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2",NA,"1-0","1","SUPPRF63935"
"1",1698406555048,"27/10/2023 11:35:55",1698410155048,1,"27/10/2023 13:35:55",147683,3,"questionnaire-wop8",NA,32529290,9627133,NA,"rejected - time limit reached",NA,"653b9d72826dd4701a676544","tablet","Apple iPad","iOS 16.5","Chrome 116.0.5845.177","810x1080","810x965",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2",NA,"1-0","1","SUPPRF70813"
