"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.vu6m","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1708992515151,"27/02/2024 00:08:35",1708996115151,1,"27/02/2024 02:08:35",167771,4,"questionnaire-wop8",NA,35533659,10497585,NA,"complete",NA,"65dd1f2e0a96edde8acceaa3","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1067x600","1067x600",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_first","1-0","1","SUPPRF54803"
"1",1708992654402,"27/02/2024 00:10:54",1708971054402,-6,"26/02/2024 12:10:54",167771,4,"questionnaire-wop8",NA,35533725,10497657,NA,"complete",NA,"65dd250f1f33c57dc3b550d7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x683",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1-0","1","SUPPRF59017"
"1",1708992668338,"27/02/2024 00:11:08",1708974668338,-5,"26/02/2024 14:11:08",167771,4,"questionnaire-wop8",NA,35533733,10497693,NA,"complete",NA,"65dd26a71eb656fe97f930ca","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_second","1-0","1","SUPPRF03892"
"1",1708993313159,"27/02/2024 00:21:53",1708975313159,-5,"26/02/2024 14:21:53",167771,4,"questionnaire-wop8",NA,35533944,10497745,NA,"complete",NA,"65dd29628a4dc20718733aed","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1-0","1","SUPPRF74334"
"1",1708994152678,"27/02/2024 00:35:52",1708976152678,-5,"26/02/2024 14:35:52",167771,4,"questionnaire-wop8",NA,35534147,10497777,NA,"complete",NA,"65dd2a211eb656fe97f93204","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","Chocking_second","1-0","1","SUPPRF03799"
"1",1708994640348,"27/02/2024 00:44:00",1708976640348,-5,"26/02/2024 14:44:00",167771,4,"questionnaire-wop8",NA,35534308,10497832,NA,"complete",NA,"65dd2dfcb5a870c7880be710","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1470x956","1470x833",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","Chocking_first","1-0","1","SUPPRF65916"
"1",1708996034190,"27/02/2024 01:07:14",1708978034190,-5,"26/02/2024 15:07:14",167771,4,"questionnaire-wop8",NA,35534573,10497905,NA,"complete",NA,"65dd3418b21f223565a33b74","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1228x787",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","Chocking_second","1-0","1","SUPPRF41953"
"1",1708996338310,"27/02/2024 01:12:18",1708978338310,-5,"26/02/2024 15:12:18",167771,4,"questionnaire-wop8",NA,35534625,10497913,NA,"complete",NA,"65dd34d9e2fb1f27d251d5d3","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1494x934","1494x799",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","Chocking_first","1-0","1","SUPPRF16573"
"1",1708997300799,"27/02/2024 01:28:20",1708979300799,-5,"26/02/2024 15:28:20",167771,4,"questionnaire-wop8",NA,35534758,10497935,NA,"complete",NA,"65dd3709269e3078a5cb3e15","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","Chocking_first","1-0","1","SUPPRF52507"
"1",1708998034077,"27/02/2024 01:40:34",1708969234077,-8,"26/02/2024 09:40:34",167771,4,"questionnaire-wop8",NA,35534853,10497970,NA,"complete",NA,"65dd3a335c4c8090ce3cc61a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","Chocking_second","1-0","1","SUPPRF66564"
"1",1709001544227,"27/02/2024 02:39:04",1709001544227,0,"27/02/2024 02:39:04",167771,4,"questionnaire-wop8",NA,35535125,10498091,NA,"complete",NA,"65dd4969a41d2ed79a980911","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1470x956","1470x803",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","Chocking_first","1-0","1","SUPPRF15429"
"1",1709003724615,"27/02/2024 03:15:24",1708982124615,-6,"26/02/2024 15:15:24",167771,4,"questionnaire-wop8",NA,35535335,10498138,NA,"complete",NA,"65dd51331eb656fe97f93ca0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","Chocking_second","1-0","1","SUPPRF92764"
"1",1709003845158,"27/02/2024 03:17:25",1708982245158,-6,"26/02/2024 15:17:25",167771,4,"questionnaire-wop8",NA,35535348,10498149,NA,"complete",NA,"65dd52338631f0035eaafdd8","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","Chocking_first","1-0","1","SUPPRF01574"
"1",1709007679343,"27/02/2024 04:21:19",1708986079343,-6,"26/02/2024 16:21:19",167771,4,"questionnaire-wop8",NA,35535883,10498297,NA,"complete",NA,"65dd5f528631f0035eab0087","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","Chocking_second","1-0","1","SUPPRF56111"
