"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID_new"
"7",1719416340864,"26/06/2024 15:39:00",1719419940864,1,"26/06/2024 17:39:00",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",3703.1,18732.2,18746.3999999285,3703.1,18732.2,18746.3999999285,1,3703.1,15043.2999999285,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPSCO81666"
"8",1719416340864,"26/06/2024 15:39:00",1719419940864,1,"26/06/2024 17:39:00",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",6355.5,18732.2,18746.8999999285,6355.5,18732.2,18746.8999999285,1,6355.5,12391.3999999285,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPSCO81666"
"9",1719416340865,"26/06/2024 15:39:00",1719419940865,1,"26/06/2024 17:39:00",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",14712.4,18732.2,18747.3999999285,14712.4,18732.2,18747.3999999285,1,14712.4,4034.99999992848,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPSCO81666"
"10",1719416349446,"26/06/2024 15:39:09",1719419949446,1,"26/06/2024 17:39:09",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",8596.59999990463,8590.4,8596.59999990463,8596.59999990463,8590.4,8596.59999990463,1,8596.59999990463,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPSCO81666"
"11",1719416349446,"26/06/2024 15:39:09",1719419949446,1,"26/06/2024 17:39:09",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",2568.8,8590.4,8596.89999997616,2568.8,8590.4,8596.89999997616,1,2568.8,6028.09999997616,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPSCO81666"
"12",1719416349446,"26/06/2024 15:39:09",1719419949446,1,"26/06/2024 17:39:09",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",5788.1,8590.4,8597.09999990463,5788.1,8590.4,8597.09999990463,1,5788.1,2808.99999990463,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPSCO81666"
"13",1719416349447,"26/06/2024 15:39:09",1719419949447,1,"26/06/2024 17:39:09",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","8",7539.5,8590.4,8597.29999995232,7539.5,8590.4,8597.29999995232,1,7539.5,1057.79999995232,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPSCO81666"
"14",1719416349449,"26/06/2024 15:39:09",1719419949449,1,"26/06/2024 17:39:09",177048,9,"task-vy7n",NA,38523528,11319143,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","2560x1440","2560x1271",NA,NA,0,"BIQ-A",3,"CDBEAFHG","Passed AC2","","spreadsheet_4","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO81666"
"1",1719570917179,"28/06/2024 10:35:17",1719574517179,1,"28/06/2024 12:35:17",177048,9,"task-vy7n",NA,38562211,11330297,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPSCO12782"
"2",1719570953566,"28/06/2024 10:35:53",1719574553566,1,"28/06/2024 12:35:53",177048,9,"task-vy7n",NA,38562211,11330297,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"BIQ-A",3,"EFDGCHBA","Passed AC2","","spreadsheet","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",36392.1000000001,36377.6,36392.1000000001,36392.1000000001,36377.6,36392.1000000001,1,36392.1000000001,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPSCO12782"
