"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.qny1","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID_new"
"1",1721824942805,"24/07/2024 12:42:22",1721828542805,1,"24/07/2024 14:42:22",177048,9,"questionnaire-wop8",NA,39179290,11493943,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1920x1080","1654x1028",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet_5","1-0","1","SUPSCO84507"
"1",1721912113368,"25/07/2024 12:55:13",1721915713368,1,"25/07/2024 14:55:13",177048,9,"questionnaire-wop8",NA,39199708,11498723,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFHG","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO05791"
"1",1721989066559,"26/07/2024 10:17:46",1721992666559,1,"26/07/2024 12:17:46",177048,9,"questionnaire-wop8",NA,39213856,11503486,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 126.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2","","spreadsheet","1-0","1","SUPSCO15787"
"1",1722262635592,"29/07/2024 14:17:15",1722266235592,1,"29/07/2024 16:17:15",177048,9,"questionnaire-wop8",NA,39258504,11513960,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet_5","1","2","SUPSCO97532"
"1",1723803082864,"16/08/2024 10:11:22",1723806682864,1,"16/08/2024 12:11:22",177048,9,"questionnaire-wop8",NA,39584428,11590815,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO99657"
"1",1731689742928,"15/11/2024 16:55:42",1731689742928,0,"15/11/2024 16:55:42",177048,9,"questionnaire-wop8",NA,41376143,12078632,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1470x956","1470x831",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADHEGF","Failed AC2","Passed AC1","spreadsheet_3","0","4","SUPSCO04571"
"1",1731947556874,"18/11/2024 16:32:36",1731947556874,0,"18/11/2024 16:32:36",177048,9,"questionnaire-wop8",NA,41429877,12093308,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAH","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO12088"
"1",1732032836219,"19/11/2024 16:13:56",1732032836219,0,"19/11/2024 16:13:56",177048,9,"questionnaire-wop8",NA,41463527,12102817,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet_2","1","2","SUPSCO70172"
"1",1732121344038,"20/11/2024 16:49:04",1732121344038,0,"20/11/2024 16:49:04",177048,9,"questionnaire-wop8",NA,41494398,12111382,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 2 (Clone)",1,"ABHCGDFE","Passed AC2","","spreadsheet","1","2","SUPSCO70018"
"1",1732121386835,"20/11/2024 16:49:46",1732121386835,0,"20/11/2024 16:49:46",177048,9,"questionnaire-wop8",NA,41494421,12111307,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO79674"
"1",1732549099212,"25/11/2024 15:38:19",1732549099212,0,"25/11/2024 15:38:19",177048,9,"questionnaire-wop8",NA,41598443,12140738,NA,"complete",NA,NA,"computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1536x864","1536x743",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBA","Passed AC2","","spreadsheet","1-0","1","SUPSCO36211"
"1",1732893534197,"29/11/2024 15:18:54",1732893534197,0,"29/11/2024 15:18:54",177048,9,"questionnaire-wop8",NA,41700331,12173013,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDACB","Passed AC2","","spreadsheet_2","1-0","1","SUPSCO98984"
"1",1733244436253,"03/12/2024 16:47:16",1733244436253,0,"03/12/2024 16:47:16",177048,9,"questionnaire-wop8",NA,41777540,12198648,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 131.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFAEBDC","Passed AC2","","spreadsheet_4","1-0","1","SUPSCO64805"
"1",1733244619692,"03/12/2024 16:50:19",1733244619692,0,"03/12/2024 16:50:19",177048,9,"questionnaire-wop8",NA,41777687,12198683,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 131.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 2 (Clone)",1,"HAGBFCED","Passed AC2","","spreadsheet_3","1-0","1","SUPSCO15036"
