"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.ln1a","randomiser.vzsr","branch.hkzp","randomiser.ywar","randomiser.q6ah","order.ot79","randomiser.ahe2","randomiser.ckhi","randomiser.lqqr","randomiser.pobd","randomiser.8gdj","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..stimulus","Manipulation..Spreadsheet","Random_ID"
"193",1689002984563,"10/07/2023 15:29:44",1688988584563,-4,"10/07/2023 07:29:44",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",33,"J","Judginess","y8ii7g",1,"response","34",3243,4441,4460,3243,4441,4460,1,3243,1217,0,NA,"Slider","J",3,"object-18","J","CFD-MF-309-002-N.jpg",NA,"SUPTM96648"
"194",1689002985428,"10/07/2023 15:29:45",1688988585428,-4,"10/07/2023 07:29:45",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",33,"J","Fixation","w9zir9",2,"continue","",882,882,882,882,882,882,1,882,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-MF-309-002-N.jpg",NA,"SUPTM96648"
"195",1689002989837,"10/07/2023 15:29:49",1688988589837,-4,"10/07/2023 07:29:49",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",34,"J","Judginess","y8ii7g",1,"continue","",4407,4358,4407,4407,4358,4407,1,4407,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM96648"
"196",1689002989838,"10/07/2023 15:29:49",1688988589838,-4,"10/07/2023 07:29:49",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",34,"J","Judginess","y8ii7g",1,"response","37",2478,4358,4407,2478,4358,4407,1,2478,1929,0,NA,"Slider","J",3,"object-18","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM96648"
"197",1689002990668,"10/07/2023 15:29:50",1688988590668,-4,"10/07/2023 07:29:50",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",34,"J","Fixation","w9zir9",2,"continue","",882,882,882,882,882,882,1,882,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-037-025-S.jpeg",NA,"SUPTM96648"
"198",1689002995442,"10/07/2023 15:29:55",1688988595442,-4,"10/07/2023 07:29:55",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",35,"J","Judginess","y8ii7g",1,"continue","",4775,4741,4775,4775,4741,4775,1,4775,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM96648"
"199",1689002995452,"10/07/2023 15:29:55",1688988595452,-4,"10/07/2023 07:29:55",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",35,"J","Judginess","y8ii7g",1,"response","75",2212,4741,4785,2212,4741,4785,1,2212,2573,0,NA,"Slider","J",3,"object-18","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM96648"
"200",1689002996290,"10/07/2023 15:29:56",1688988596290,-4,"10/07/2023 07:29:56",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",35,"J","Fixation","w9zir9",2,"continue","",881,881,881,881,881,881,1,881,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-026-001-H.jpeg",NA,"SUPTM96648"
"201",1689003000817,"10/07/2023 15:30:00",1688988600817,-4,"10/07/2023 07:30:00",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",36,"J","Judginess","y8ii7g",1,"continue","",4528,4491,4528,4528,4491,4528,1,4528,0,0,NA,"Click To Continue","Continue Button",1,"object-14","J","CFD-WM-009-002-S.jpeg",NA,"SUPTM96648"
"202",1689003000818,"10/07/2023 15:30:00",1688988600818,-4,"10/07/2023 07:30:00",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",36,"J","Judginess","y8ii7g",1,"response","33",2229,4491,4529,2229,4491,4529,1,2229,2300,0,NA,"Slider","J",3,"object-18","J","CFD-WM-009-002-S.jpeg",NA,"SUPTM96648"
"203",1689003001630,"10/07/2023 15:30:01",1688988601630,-4,"10/07/2023 07:30:01",137495,33,"task-hr3w",NA,30599061,9084322,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1370x703","1366x699",NA,NA,NA,"JV Task P2",11,"Anxious",NA,"In",NA,NA,"IJHKGAFBECD",NA,NA,"B (MDot First)",1,231,"SS1","SS1",36,"J","Fixation","w9zir9",2,"continue","",849,849,849,849,849,849,1,849,0,0,NA,"Fixation Timing","Fixation",1,"object-65","J","CFD-WM-009-002-S.jpeg",NA,"SUPTM96648"
