"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1709924600817,"08/03/2024 19:03:20",1709928200817,1,"08/03/2024 21:03:20",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF43122"
"2",1709924777111,"08/03/2024 19:06:17",1709928377111,1,"08/03/2024 21:06:17",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",175618.5,175602.9,175618.5,175618.5,175602.9,175618.5,1,175618.5,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF43122"
"3",1709924784331,"08/03/2024 19:06:24",1709928384331,1,"08/03/2024 21:06:24",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",7235.39999999703,7229.30000000002,7235.39999999703,7235.39999999703,7229.30000000002,7235.39999999703,1,7235.39999999703,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF43122"
"4",1709924824545,"08/03/2024 19:07:04",1709928424545,1,"08/03/2024 21:07:04",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",40220.699999991,40211.2,40220.699999991,40220.699999991,40211.2,40220.699999991,1,40220.699999991,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF43122"
"5",1709924830521,"08/03/2024 19:07:10",1709928430521,1,"08/03/2024 21:07:10",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",5985.39999999703,5980,5985.39999999703,5985.39999999703,5980,5985.39999999703,1,5985.39999999703,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF43122"
"6",1709924837251,"08/03/2024 19:07:17",1709928437251,1,"08/03/2024 21:07:17",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",6735.30000000299,6729.60000000001,6735.30000000299,6735.30000000299,6729.60000000001,6735.30000000299,1,6735.30000000299,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF43122"
"7",1709924843683,"08/03/2024 19:07:23",1709928443683,1,"08/03/2024 21:07:23",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",6437.89999999106,6429.79999999999,6437.89999999106,6437.89999999106,6429.79999999999,6437.89999999106,1,6437.89999999106,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF43122"
"8",1709924847741,"08/03/2024 19:07:27",1709928447741,1,"08/03/2024 21:07:27",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",4064.10000000001,4047.60000000001,4064.10000000001,4064.10000000001,4047.60000000001,4064.10000000001,1,4064.10000000001,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF43122"
"9",1709924850957,"08/03/2024 19:07:30",1709928450957,1,"08/03/2024 21:07:30",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",3231.69999999998,3215,3231.69999999998,3231.69999999998,3215,3231.69999999998,1,3231.69999999998,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF43122"
"10",1709924850964,"08/03/2024 19:07:30",1709928450964,1,"08/03/2024 21:07:30",170281,5,"task-msu8",NA,35910224,10612855,NA,"complete",NA,"65eb5c6c46acd454e8d84784","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1034x612",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",10,"CDBEAFJGIH","Passed AC2",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF43122"
