"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1712945284603,"12/04/2024 18:08:04",1712948884603,1,"12/04/2024 20:08:04",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF69636"
"2",1712945289526,"12/04/2024 18:08:09",1712948889526,1,"12/04/2024 20:08:09",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",4660.80000001192,4649.8,4660.80000001192,4660.80000001192,4649.8,4660.80000001192,1,4660.80000001192,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF69636"
"3",1712945292658,"12/04/2024 18:08:12",1712948892658,1,"12/04/2024 20:08:12",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3143.2,3133.2,3143.2,3143.2,3133.2,3143.2,1,3143.2,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF69636"
"4",1712945317491,"12/04/2024 18:08:37",1712948917491,1,"12/04/2024 20:08:37",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",24844,24832.3,24844,24844,24832.3,24844,1,24844,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF69636"
"5",1712945330708,"12/04/2024 18:08:50",1712948930708,1,"12/04/2024 20:08:50",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",13230.1000000358,13216.2,13230.1000000358,13230.1000000358,13216.2,13230.1000000358,1,13230.1000000358,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF69636"
"6",1712945336991,"12/04/2024 18:08:56",1712948936991,1,"12/04/2024 20:08:56",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",6296.90000003576,6283,6296.90000003576,6296.90000003576,6283,6296.90000003576,1,6296.90000003576,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF69636"
"7",1712945342124,"12/04/2024 18:09:02",1712948942124,1,"12/04/2024 20:09:02",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",5147.10000002384,5133.2,5147.10000002384,5147.10000002384,5133.2,5147.10000002384,1,5147.10000002384,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF69636"
"8",1712945347890,"12/04/2024 18:09:07",1712948947890,1,"12/04/2024 20:09:07",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",5780.70000003577,5766.4,5780.70000003577,5780.70000003577,5766.4,5780.70000003577,1,5780.70000003577,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF69636"
"9",1712945350690,"12/04/2024 18:09:10",1712948950690,1,"12/04/2024 20:09:10",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2813.60000004769,2799.9,2813.60000004769,2813.60000004769,2799.9,2813.60000004769,1,2813.60000004769,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF69636"
"10",1712945350692,"12/04/2024 18:09:10",1712948950692,1,"12/04/2024 20:09:10",175580,1,"task-kvtv",NA,36975699,10905124,NA,"complete",NA,"6619757d6fae9709c3cbc430","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x734",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"BCADKEJFIGH","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF69636"
"1",1712946059321,"12/04/2024 18:20:59",1712949659321,1,"12/04/2024 20:20:59",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05105"
"2",1712946065243,"12/04/2024 18:21:05",1712949665243,1,"12/04/2024 20:21:05",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",5816.3,5799.7,5816.3,5816.3,5799.7,5816.3,1,5816.3,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF05105"
"3",1712946068476,"12/04/2024 18:21:08",1712949668476,1,"12/04/2024 20:21:08",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3259.20000000298,3249.9,3259.20000000298,3259.20000000298,3249.9,3259.20000000298,1,3259.20000000298,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF05105"
"4",1712946094831,"12/04/2024 18:21:34",1712949694831,1,"12/04/2024 20:21:34",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",26364.899999997,26349,26364.899999997,26364.899999997,26349,26364.899999997,1,26364.899999997,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF05105"
"5",1712946121603,"12/04/2024 18:22:01",1712949721603,1,"12/04/2024 20:22:01",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",26788.800000003,26782.3,26788.800000003,26788.800000003,26782.3,26788.800000003,1,26788.800000003,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF05105"
"6",1712946180204,"12/04/2024 18:23:00",1712949780204,1,"12/04/2024 20:23:00",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",58608.1999999985,58597.7,58608.1999999985,58608.1999999985,58597.7,58608.1999999985,1,58608.1999999985,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF05105"
"7",1712946187326,"12/04/2024 18:23:07",1712949787326,1,"12/04/2024 20:23:07",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",6,"continue","",7132.7000000015,7116.3,7132.7000000015,7132.7000000015,7116.3,7132.7000000015,1,7132.7000000015,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF05105"
"8",1712946407592,"12/04/2024 18:26:47",1712950007592,1,"12/04/2024 20:26:47",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",7,"continue","",220289.400000001,220274.5,220289.400000001,220289.400000001,220274.5,220289.400000001,1,220289.400000001,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF05105"
"9",1712946421297,"12/04/2024 18:27:01",1712950021297,1,"12/04/2024 20:27:01",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",13720.099999997,13716.1,13720.099999997,13720.099999997,13716.1,13720.099999997,1,13720.099999997,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF05105"
"10",1712946421305,"12/04/2024 18:27:01",1712950021305,1,"12/04/2024 20:27:01",175580,1,"task-kvtv",NA,36975971,10905155,NA,"complete",NA,"6619768c4c1f510a41c28420","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 123.0.0.0","1440x900","1440x779",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"CDBEAFKGJHI","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05105"
"1",1712946708039,"12/04/2024 18:31:48",1712950308039,1,"12/04/2024 20:31:48",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF18017"
"2",1712947735592,"12/04/2024 18:48:55",1712951335592,1,"12/04/2024 20:48:55",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",1027548.6,1027531.9,1027548.6,1027548.6,1027531.9,1027548.6,1,1027548.6,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF18017"
"3",1712947739295,"12/04/2024 18:48:59",1712951339295,1,"12/04/2024 20:48:59",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",2,"continue","",3725.90000000002,3716.90000000002,3725.90000000002,3725.90000000002,3716.90000000002,3725.90000000002,1,3725.90000000002,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF18017"
"4",1712947761556,"12/04/2024 18:49:21",1712951361556,1,"12/04/2024 20:49:21",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",3,"continue","",22270.5,22266.8999999999,22270.5,22270.5,22266.8999999999,22270.5,1,22270.5,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF18017"
"5",1712947772716,"12/04/2024 18:49:32",1712951372716,1,"12/04/2024 20:49:32",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",4,"continue","",11163.9999999763,11150.2000000002,11163.9999999763,11163.9999999763,11150.2000000002,11163.9999999763,1,11163.9999999763,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF18017"
"6",1712947784119,"12/04/2024 18:49:44",1712951384119,1,"12/04/2024 20:49:44",175580,1,"task-kvtv",NA,36976201,10905244,NA,"complete",NA,"661978915a0654b8bd0fe5e2","computer","Desktop or Laptop","Windows 10","Chrome 123.0.0.0","1280x720","1280x585",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone) (Clone)",2,"EFDGCHBIAJK","Passed AC2","","Spreadsheet1","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",5,"continue","",11416.699999982,11400.2,11416.699999982,11416.699999982,11400.2,11416.699999982,1,11416.699999982,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF18017"
