"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1710619481073,"16/03/2024 20:04:41",1710601481073,-5,"16/03/2024 10:04:41",171533,4,"questionnaire-s6dh",NA,36157525,10676371,NA,"complete",NA,"65f5fb284927cf00599ff201","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x716",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF74430"
"1",1710624784980,"16/03/2024 21:33:04",1710610384980,-4,"16/03/2024 13:33:04",171533,4,"questionnaire-s6dh",NA,36158662,10676717,NA,"complete",NA,"65f60ffae4f3e16e24c12309","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x690",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF00347"
"1",1710653078155,"17/03/2024 05:24:38",1710627878155,-7,"16/03/2024 15:24:38",171533,4,"questionnaire-s6dh",NA,36161395,10677558,NA,"complete",NA,"65f67daa2095aeb852e81b74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1494x934","1494x799",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF35950"
"1",1710658430475,"17/03/2024 06:53:50",1710662030475,1,"17/03/2024 08:53:50",171533,4,"questionnaire-s6dh",NA,36161706,10677669,NA,"complete",NA,"65f693269426c824ebce5e74","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1600x900","1600x739",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF41805"
"1",1710677794550,"17/03/2024 12:16:34",1710677794550,0,"17/03/2024 12:16:34",171533,4,"questionnaire-s6dh",NA,36164524,10678500,NA,"complete",NA,"65f6df0a07cf9f1befd470db","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x551",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF83047"
"1",1710683797196,"17/03/2024 13:56:37",1710683797196,0,"17/03/2024 13:56:37",171533,4,"questionnaire-s6dh",NA,36165863,10678904,NA,"complete",NA,"65f6f68107cf9f1befd477bf","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1470x956","1200x732",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF58947"
"1",1710691108922,"17/03/2024 15:58:28",1710676708922,-4,"17/03/2024 07:58:28",171533,4,"questionnaire-s6dh",NA,36168169,10679571,NA,"complete",NA,"65f7130887c460056a1a8065","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF48827"
"1",1710694982325,"17/03/2024 17:03:02",1710680582325,-4,"17/03/2024 09:03:02",171533,4,"questionnaire-s6dh",NA,36169074,10679855,NA,"complete",NA,"65f72019baabda8dcaff5d3e","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1517x852","1517x717",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF74320"
"1",1710699743876,"17/03/2024 18:22:23",1710699743876,0,"17/03/2024 18:22:23",171533,4,"questionnaire-s6dh",NA,36170321,10680276,NA,"complete",NA,"65f734d21140c0938ca21bfa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x732",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF43967"
"1",1710702537238,"17/03/2024 19:08:57",1710688137238,-4,"17/03/2024 11:08:57",171533,4,"questionnaire-s6dh",NA,36170927,10680442,NA,"complete",NA,"65f73fb2237a76ae4000d3df","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x633",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF91090"
"1",1710705189001,"17/03/2024 19:53:09",1710687189001,-5,"17/03/2024 09:53:09",171533,4,"questionnaire-s6dh",NA,36171501,10680596,NA,"complete",NA,"65f74a13237a76ae4000d718","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x738",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF55636"
"1",1710705844716,"17/03/2024 20:04:04",1710705844716,0,"17/03/2024 20:04:04",171533,4,"questionnaire-s6dh",NA,36171688,10680641,NA,"complete",NA,"65f74c41bb3bfeb0eedc4fd0","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x703",NA,NA,0,"Consent (Clone)",7,"FGEHDICJBA","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPPRF92030"
"1",1710711053157,"17/03/2024 21:30:53",1710711053157,0,"17/03/2024 21:30:53",171533,4,"questionnaire-s6dh",NA,36173106,10680967,NA,"complete",NA,"65f76102b9c16ccb6a90ccc7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1512x982","1512x793",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF51693"
"1",1710740649364,"18/03/2024 05:44:09",1710715449364,-7,"17/03/2024 15:44:09",171533,4,"questionnaire-s6dh",NA,36176885,10682200,NA,"complete",NA,"65f7d499c59662b24ac0fc9a","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x703",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF27495"
"1",1710761547624,"18/03/2024 11:32:27",1710761547624,0,"18/03/2024 11:32:27",171533,4,"questionnaire-s6dh",NA,36183739,10684487,NA,"complete",NA,"65f8261fb82cabb69344d08e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1920x1080","1920x919",NA,NA,0,"Consent (Clone)",7,"BCADJEIFHG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPPRF16624"
