"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695829169396,"27/09/2023 15:39:29",1695814769396,-4,"27/09/2023 07:39:29",144636,4,"questionnaire-xamc",NA,31900482,9432906,NA,"complete","incrvy","31JLPPHS20TV3GLZ35G8IYM5V3S3O4","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT52689"
"1",1695829173467,"27/09/2023 15:39:33",1695814773467,-4,"27/09/2023 07:39:33",144636,4,"questionnaire-xamc",NA,31900486,9432907,NA,"complete","wpsdub","35DR22AR5JJIXPZR4W341BDY77X3X9","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT89542"
"1",1695829174705,"27/09/2023 15:39:34",1695814774705,-4,"27/09/2023 07:39:34",144636,4,"questionnaire-xamc",NA,31900487,9432929,NA,"complete","zjrspa","3E337GFOLF7EF7XBX5NFM3B99YSGNA","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT75604"
"1",1695851360122,"27/09/2023 21:49:20",1695836960122,-4,"27/09/2023 13:49:20",144636,4,"questionnaire-xamc",NA,31900641,9432962,NA,"complete","axekhd","3TY7ZAOG5LJGWX1NMQ6W9J7P8M0K08","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2","","1","2","SUPAMT58485"
"1",1695840676568,"27/09/2023 18:51:16",1695815476568,-7,"27/09/2023 04:51:16",144636,4,"questionnaire-xamc",NA,31900697,9432933,NA,"complete","razzeo","3YWRV122CYYCHIB2B8ND8LM5TB88UE","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1","2","SUPAMT62274"
"1",1695829884611,"27/09/2023 15:51:24",1695815484611,-4,"27/09/2023 07:51:24",144636,4,"questionnaire-xamc",NA,31900700,9432949,NA,"complete","owsinx","3KOPY89HME1H25U2NSO3A25JW9KJ33","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Failed AC2","Passed AC1","1","2","SUPAMT04615"
"1",1695829887370,"27/09/2023 15:51:27",1695815487370,-4,"27/09/2023 07:51:27",144636,4,"questionnaire-xamc",NA,31900701,9432975,NA,"complete","ekwfxs","33M4IA01QM0AGRKTFM40J9GEDLFRX3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2","","1","2","SUPAMT51338"
"1",1695833682956,"27/09/2023 16:54:42",1695815682956,-5,"27/09/2023 06:54:42",144636,4,"questionnaire-xamc",NA,31900793,9432993,NA,"complete","fidjdz","3UJ1CZ6IZNODFN0WO5LAH0UQ6OP5SW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1364x561",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1","2","SUPAMT63304"
"1",1695830364374,"27/09/2023 15:59:24",1695815964374,-4,"27/09/2023 07:59:24",144636,4,"questionnaire-xamc",NA,31900907,9433017,NA,"complete","uyxadx","3XLBSAQ9ZABP330T7QUFBD5PK9AZ70","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2","","1","2","SUPAMT21877"
"1",1695796280941,"27/09/2023 06:31:20",1695816080941,5.5,"27/09/2023 17:31:20",144636,4,"questionnaire-xamc",NA,31900958,9433024,NA,"complete","gaecgl","3GA6AFUKOUNLBZZCZSLIYPP4JHEH3U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1","2","SUPAMT90670"
