"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.huxg","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1709604335030,"05/03/2024 02:05:35",1709586335030,-5,"04/03/2024 16:05:35",169741,4,"questionnaire-s6dh",NA,35780367,10575152,NA,"complete",NA,"65e67dd45a9635b1d54e63bd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1385x754",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Failed AC2","Passed AC1","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF74439"
"1",1709605151547,"05/03/2024 02:19:11",1709587151547,-5,"04/03/2024 16:19:11",169741,4,"questionnaire-s6dh",NA,35780580,10575203,NA,"complete",NA,"65e680bc30346a17991412f9","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x1024","1052x883",NA,NA,0,"Consent (Clone)",7,"JAIBHCGDFE","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF18124"
"1",1709606296172,"05/03/2024 02:38:16",1709584696172,-6,"04/03/2024 14:38:16",169741,4,"questionnaire-s6dh",NA,35781673,10575393,NA,"complete",NA,"65e685496786b51f9b6f0999","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF66448"
"1",1709608471601,"05/03/2024 03:14:31",1709583271601,-7,"04/03/2024 13:14:31",169741,4,"questionnaire-s6dh",NA,35782280,10575436,NA,"complete",NA,"65e68bb756a92539d1f5fc9a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 122.0.0.0","1440x900","1440x788",NA,NA,0,"Consent (Clone)",7,"ABJCIDHEGF","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF36163"
"1",1709619037123,"05/03/2024 06:10:37",1709597437123,-6,"04/03/2024 18:10:37",169741,4,"questionnaire-s6dh",NA,35783886,10575786,NA,"complete",NA,"65e6b46bf75de275fad2d819","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1112","1200x689",NA,NA,0,"Consent (Clone)",7,"CDBEAFJGIH","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF72420"
"1",1709620497960,"05/03/2024 06:34:57",1709624097960,1,"05/03/2024 08:34:57",169741,4,"questionnaire-s6dh",NA,35784017,10575824,NA,"complete",NA,"65e6bb04450757d4d44e6d9f","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1366x768","1366x599",NA,NA,0,"Consent (Clone)",7,"DECFBGAHJI","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF28837"
"1",1709625632538,"05/03/2024 08:00:32",1709593232538,-9,"04/03/2024 14:00:32",169741,4,"questionnaire-s6dh",NA,35784735,10576032,NA,"rejected - time limit reached",NA,"65e6cf5cce0675d712f52e05","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1024x498",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIAJ","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF08667"
"1",1709631587939,"05/03/2024 09:39:47",1709631587939,0,"05/03/2024 09:39:47",169741,4,"questionnaire-s6dh",NA,35786401,10576549,NA,"complete",NA,"65e6e8474cc66c4cbf831960","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x960","1536x791",NA,NA,0,"Consent (Clone)",7,"GHFIEJDACB","Passed AC2","","Chocking_second","1","1","1","1","1","1","1","1","1","1","1","SUPPRF09135"
"1",1709632575353,"05/03/2024 09:56:15",1709632575353,0,"05/03/2024 09:56:15",169741,4,"questionnaire-s6dh",NA,35786780,10576650,NA,"complete",NA,"65e6ebb5d263dfed41103566","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1536x864","1536x730",NA,NA,0,"Consent (Clone)",7,"HIGJFAEBDC","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF18536"
"1",1709639365778,"05/03/2024 11:49:25",1709639365778,0,"05/03/2024 11:49:25",169741,4,"questionnaire-s6dh",NA,35790340,10577799,NA,"complete",NA,"65e706b7315a671ffac90f5e","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1280x720","1280x585",NA,NA,0,"Consent (Clone)",7,"IJHAGBFCED","Passed AC2","","Chocking_first","1","1","1","1","1","1","1","1","1","1","1","SUPPRF68723"
