"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","X","Random_ID_new"
"1",1723457602699,"12/08/2024 10:13:22",1723461202699,1,"12/08/2024 12:13:22",180348,2,"questionnaire-4h2a",NA,39511497,11571362,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"ABICHDGEF","Passed AC2","","1","2","2","3","2","3","5",31,"SUPLCM12782"
"1",1723551209329,"13/08/2024 12:13:29",1723554809329,1,"13/08/2024 14:13:29",180348,2,"questionnaire-4h2a",NA,39537279,11577139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x799",NA,NA,0,"Mini-SPIN",2,"BCADIEHFG","Passed AC2","","2","3","1","2","4","5","7",32,"SUPLCM15998"
"1",1724073477569,"19/08/2024 13:17:57",1724077077569,1,"19/08/2024 15:17:57",180348,2,"questionnaire-4h2a",NA,39611817,11597956,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"CDBEAFIGH","Passed AC2","","3","4","2","3","3","4","8",33,"SUPLCM91399"
"1",1724155854577,"20/08/2024 12:10:54",1724159454577,1,"20/08/2024 14:10:54",180348,2,"questionnaire-4h2a",NA,39627298,11603019,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1504x1003","1504x876",NA,NA,0,"Mini-SPIN",2,"DECFBGAHI","Passed AC2","","1","2","2","3","2","3","5",34,"SUPLCM65440"
"1",1724422867096,"23/08/2024 14:21:07",1724426467096,1,"23/08/2024 16:21:07",180348,2,"questionnaire-4h2a",NA,39681565,11617063,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x551",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIA","Passed AC2","","2","3","3","4","3","4","8",35,"SUPLCM66245"
"1",1725032454003,"30/08/2024 15:40:54",1725039654003,2,"30/08/2024 19:40:54",180348,2,"questionnaire-4h2a",NA,39795479,11642910,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1440x960","1440x872",NA,NA,0,"Mini-SPIN",2,"FGEHDICAB","Passed AC2","","0","1","0","1","0","1","0",36,"SUPLCM44269"
"1",1725289582450,"02/09/2024 15:06:22",1725296782450,2,"02/09/2024 19:06:22",180348,2,"questionnaire-4h2a",NA,39841436,11652421,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1470x956","1470x747",NA,NA,0,"Mini-SPIN",2,"GHFIEADBC","Passed AC2","","0","1","0","1","0","1","0",37,"SUPLCM70702"
"1",1725365566872,"03/09/2024 12:12:46",1725369166872,1,"03/09/2024 14:12:46",180348,2,"questionnaire-4h2a",NA,39855704,11655644,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1436x728",NA,NA,0,"Mini-SPIN",2,"HIGAFBECD","Passed AC2","","2","3","1","2","4","5","7",38,"SUPLCM01328"
"1",1726068896180,"11/09/2024 15:34:56",1726097696180,8,"12/09/2024 07:34:56",180348,2,"questionnaire-4h2a",NA,39997162,11690437,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x800","1280x631",NA,NA,0,"Mini-SPIN",2,"ABICHDGEF","Passed AC2","","0","1","2","3","2","3","4",39,"SUPLCM13522"
"1",1727192806599,"24/09/2024 15:46:46",1727196406599,1,"24/09/2024 17:46:46",180348,2,"questionnaire-4h2a",NA,40236223,11746139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x585",NA,NA,0,"Mini-SPIN",2,"DECFBGAHI","Passed AC2","","2","3","1","2","1","2","4",40,"SUPLCM73133"
"1",1727884678276,"02/10/2024 15:57:58",1727888278276,1,"02/10/2024 17:57:58",180348,2,"questionnaire-4h2a",NA,40406379,11790140,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1200x665",NA,NA,0,"Mini-SPIN",2,"FGEHDICAB","Passed AC2","","2","3","1","2","1","2","4",10,"SUPLCM80310"
"1",1728048597404,"04/10/2024 13:29:57",1728052197404,1,"04/10/2024 15:29:57",180348,2,"questionnaire-4h2a",NA,40442118,11800446,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x797",NA,NA,0,"Mini-SPIN",2,"IAHBGCFDE","Passed AC2","","2","3","2","3","1","2","5",43,"SUPLCM98743"
"1",1728056049398,"04/10/2024 15:34:09",1728059649398,1,"04/10/2024 17:34:09",180348,2,"questionnaire-4h2a",NA,40447349,11801406,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"ABICHDGEF","Failed AC2","Passed AC1","3","4","0","1","3","4","6",44,"SUPLCM18538"
"1",1728315319676,"07/10/2024 15:35:19",1728318919676,1,"07/10/2024 17:35:19",180348,2,"questionnaire-4h2a",NA,40481179,11810550,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x780",NA,NA,0,"Mini-SPIN",2,"BCADIEHFG","Passed AC2","","3","4","2","3","4","5","9",12,"SUPLCM02221"
"1",1728660739654,"11/10/2024 15:32:19",1728664339654,1,"11/10/2024 17:32:19",180348,2,"questionnaire-4h2a",NA,40565555,11835855,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1680x1050","1674x926",NA,NA,0,"Mini-SPIN",2,"FGEHDICAB","Passed AC2","","1","2","2","3","3","4","6",46,"SUPLCM81485"
"1",1729072714430,"16/10/2024 09:58:34",1729076314430,1,"16/10/2024 11:58:34",180348,2,"questionnaire-4h2a",NA,40678653,11867092,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Mini-SPIN",2,"GHFIEADBC","Passed AC2","","1","2","1","2","2","3","4",47,"SUPLCM24504"
