"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID_new"
"1",1727881250196,"02/10/2024 15:00:50",1727884850196,1,"02/10/2024 17:00:50",180348,2,"questionnaire-xamc",NA,40405249,11789972,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2",NA
"1",1727883513067,"02/10/2024 15:38:33",1727887113067,1,"02/10/2024 17:38:33",180348,2,"questionnaire-xamc",NA,40406060,11790140,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1200x665",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2",NA
"1",1727956701711,"03/10/2024 11:58:21",1727960301711,1,"03/10/2024 13:58:21",180348,2,"questionnaire-xamc",NA,40419061,11793856,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","","1","2",NA
"1",1727960499988,"03/10/2024 13:01:39",1727964099988,1,"03/10/2024 15:01:39",180348,2,"questionnaire-xamc",NA,40421222,11794177,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1440x900","1440x765",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2",NA
"1",1728477039477,"09/10/2024 12:30:39",1728480639477,1,"09/10/2024 14:30:39",180348,2,"questionnaire-xamc",NA,40518199,11821655,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x728",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2",NA
"1",1728487961590,"09/10/2024 15:32:41",1728491561590,1,"09/10/2024 17:32:41",180348,2,"questionnaire-xamc",NA,40522435,11823042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1488x643",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2",NA
"1",1728660400445,"11/10/2024 15:26:40",1728664000445,1,"11/10/2024 17:26:40",180348,2,"questionnaire-xamc",NA,40565368,11835855,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1680x1050","1674x926",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2",NA
"1",1730285755825,"30/10/2024 10:55:55",1730285755825,0,"30/10/2024 10:55:55",180348,2,"questionnaire-xamc",NA,41001217,11972640,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGAFBECD","Passed AC2","","1","2",NA
"1",1718723007872,"18/06/2024 15:03:27",1718726607872,1,"18/06/2024 17:03:27",180348,2,"questionnaire-xamc",NA,38357108,11274195,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2","SUPLCM91602"
"1",1719320712085,"25/06/2024 13:05:12",1719324312085,1,"25/06/2024 15:05:12",180348,2,"questionnaire-xamc",NA,38483548,11311607,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x559",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2","SUPLCM79155"
"1",1719575949302,"28/06/2024 11:59:09",1719586749302,3,"28/06/2024 17:59:09",180348,2,"questionnaire-xamc",NA,38565755,11330934,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2","SUPLCM31721"
"1",1719828075124,"01/07/2024 10:01:15",1719831675124,1,"01/07/2024 12:01:15",180348,2,"questionnaire-xamc",NA,38642023,11341646,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1512x982","1512x858",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","","1","2","SUPLCM34679"
"1",1720018646147,"03/07/2024 14:57:26",1720022246147,1,"03/07/2024 16:57:26",180348,2,"questionnaire-xamc",NA,38733037,11367090,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x788",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2","SUPLCM20104"
"1",1720526437781,"09/07/2024 12:00:37",1720530037781,1,"09/07/2024 14:00:37",180348,2,"questionnaire-xamc",NA,38832451,11394042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x722",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","","1","2","SUPLCM96648"
"1",1721739683782,"23/07/2024 13:01:23",1721743283782,1,"23/07/2024 15:01:23",180348,2,"questionnaire-xamc",NA,39147610,11486639,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1351x673",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2","SUPLCM65569"
"1",1721815358082,"24/07/2024 10:02:38",1721844158082,8,"25/07/2024 02:02:38",180348,2,"questionnaire-xamc",NA,39164488,11491791,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1091x702",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHI","Passed AC2","","1","2","SUPLCM83190"
"1",1721989406173,"26/07/2024 10:23:26",1721993006173,1,"26/07/2024 12:23:26",180348,2,"questionnaire-xamc",NA,39213989,11503602,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1707x1067","1707x898",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2","SUPLCM14619"
"1",1722438046653,"31/07/2024 15:00:46",1722466846653,8,"01/08/2024 07:00:46",180348,2,"questionnaire-xamc",NA,39300121,11525359,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x688",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","","0","1","SUPLCM81666"
"1",1723457446988,"12/08/2024 10:10:46",1723461046988,1,"12/08/2024 12:10:46",180348,2,"questionnaire-xamc",NA,39511420,11571362,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2","SUPLCM12782"
"1",1723550618597,"13/08/2024 12:03:38",1723554218597,1,"13/08/2024 14:03:38",180348,2,"questionnaire-xamc",NA,39536955,11577139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","","1","2","SUPLCM15998"
"1",1724072770594,"19/08/2024 13:06:10",1724076370594,1,"19/08/2024 15:06:10",180348,2,"questionnaire-xamc",NA,39611517,11597956,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2",NA
"1",1724422437438,"23/08/2024 14:13:57",1724426037438,1,"23/08/2024 16:13:57",180348,2,"questionnaire-xamc",NA,39681394,11617063,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIA","Passed AC2","","1","2",NA
"1",1726068737427,"11/09/2024 15:32:17",1726097537427,8,"12/09/2024 07:32:17",180348,2,"questionnaire-xamc",NA,39997098,11690437,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x800","1280x631",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Passed AC2","","1","2",NA
"1",1727190486563,"24/09/2024 15:08:06",1727194086563,1,"24/09/2024 17:08:06",180348,2,"questionnaire-xamc",NA,40234657,11745960,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1920x1080","1339x844",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Failed AC2","Passed AC1","1","2",NA
"1",1728048586168,"04/10/2024 13:29:46",1728052186168,1,"04/10/2024 15:29:46",180348,2,"questionnaire-xamc",NA,40442113,11800446,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x797",NA,NA,0,"Attention Check 1 (Clone)",1,"IAHBGCFDE","Passed AC2","","1","2",NA
"1",1728055865832,"04/10/2024 15:31:05",1728059465832,1,"04/10/2024 17:31:05",180348,2,"questionnaire-xamc",NA,40447290,11801406,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"ABICHDGEF","Failed AC2","Passed AC1","1","2",NA
"1",1728315107102,"07/10/2024 15:31:47",1728318707102,1,"07/10/2024 17:31:47",180348,2,"questionnaire-xamc",NA,40481098,11810550,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x780",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADIEHFG","Passed AC2","","1","2",NA
"1",1728467994335,"09/10/2024 09:59:54",1728471594335,1,"09/10/2024 11:59:54",180348,2,"questionnaire-xamc",NA,40515575,11820759,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2",NA
"1",1729072571417,"16/10/2024 09:56:11",1729076171417,1,"16/10/2024 11:56:11",180348,2,"questionnaire-xamc",NA,40678604,11867092,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEADBC","Passed AC2","","1","2",NA
