"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks..video.and.audio.recordings...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID_new"
"1",1719320670250,"25/06/2024 13:04:30",1719324270250,1,"25/06/2024 15:04:30",180348,2,"questionnaire-s6dh",NA,38483524,11311607,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x559",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM79155"
"1",1719396222142,"26/06/2024 10:03:42",1719399822142,1,"26/06/2024 12:03:42",180348,2,"questionnaire-s6dh",NA,38506472,11316808,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x788",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM01588"
"1",1719493016815,"27/06/2024 12:56:56",1719496616815,1,"27/06/2024 14:56:56",180348,2,"questionnaire-s6dh",NA,38535837,11323000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM05151"
"1",1719575849111,"28/06/2024 11:57:29",1719586649111,3,"28/06/2024 17:57:29",180348,2,"questionnaire-s6dh",NA,38565712,11330934,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM31721"
"1",1719828019143,"01/07/2024 10:00:19",1719831619143,1,"01/07/2024 12:00:19",180348,2,"questionnaire-s6dh",NA,38641982,11341646,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1512x982","1512x858",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM34679"
"1",1719922104077,"02/07/2024 12:08:24",1719925704077,1,"02/07/2024 14:08:24",180348,2,"questionnaire-s6dh",NA,38675224,11355075,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x728",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1","SUPLCM16544"
"1",1720018588547,"03/07/2024 14:56:28",1720022188547,1,"03/07/2024 16:56:28",180348,2,"questionnaire-s6dh",NA,38733012,11367090,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x788",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM20104"
"1",1720526409970,"09/07/2024 12:00:09",1720530009970,1,"09/07/2024 14:00:09",180348,2,"questionnaire-s6dh",NA,38832432,11394042,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 124.0.0.0","1440x900","1440x722",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM96648"
"1",1721739647084,"23/07/2024 13:00:47",1721743247084,1,"23/07/2024 15:00:47",180348,2,"questionnaire-s6dh",NA,39147595,11486639,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1351x673",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM65569"
"1",1721815279926,"24/07/2024 10:01:19",1721844079926,8,"25/07/2024 02:01:19",180348,2,"questionnaire-s6dh",NA,39164457,11491791,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1091x702",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM83190"
"1",1721989336997,"26/07/2024 10:22:16",1721992936997,1,"26/07/2024 12:22:16",180348,2,"questionnaire-s6dh",NA,39213963,11503602,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1707x1067","1707x898",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM14619"
"1",1722351543209,"30/07/2024 14:59:03",1722355143209,1,"30/07/2024 16:59:03",180348,2,"questionnaire-s6dh",NA,39280555,11519698,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x960","1536x825",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM14738"
"1",1722437993139,"31/07/2024 14:59:53",1722466793139,8,"01/08/2024 06:59:53",180348,2,"questionnaire-s6dh",NA,39300056,11525359,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x688",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM81666"
"1",1722956904800,"06/08/2024 15:08:24",1722942504800,-4,"06/08/2024 07:08:24",180348,2,"questionnaire-s6dh",NA,39410905,11551348,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x701",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM41800"
"1",1723457396305,"12/08/2024 10:09:56",1723460996305,1,"12/08/2024 12:09:56",180348,2,"questionnaire-s6dh",NA,39511398,11571362,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM12782"
"1",1723550553042,"13/08/2024 12:02:33",1723554153042,1,"13/08/2024 14:02:33",180348,2,"questionnaire-s6dh",NA,39536893,11577139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x799",NA,NA,0,"Consent (Clone)",7,"BCADIEHFG","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1","SUPLCM15998"
"1",1724072702802,"19/08/2024 13:05:02",1724076302802,1,"19/08/2024 15:05:02",180348,2,"questionnaire-s6dh",NA,39611500,11597956,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"CDBEAFIGH","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1724155183892,"20/08/2024 11:59:43",1724158783892,1,"20/08/2024 13:59:43",180348,2,"questionnaire-s6dh",NA,39627099,11603019,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1504x1003","1504x876",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1724422356032,"23/08/2024 14:12:36",1724425956032,1,"23/08/2024 16:12:36",180348,2,"questionnaire-s6dh",NA,39681367,11617063,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x551",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1725032102429,"30/08/2024 15:35:02",1725039302429,2,"30/08/2024 19:35:02",180348,2,"questionnaire-s6dh",NA,39795342,11642910,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1440x960","1037x847",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1725289252410,"02/09/2024 15:00:52",1725296452410,2,"02/09/2024 19:00:52",180348,2,"questionnaire-s6dh",NA,39841310,11652421,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1470x956","1470x747",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1725365370027,"03/09/2024 12:09:30",1725368970027,1,"03/09/2024 14:09:30",180348,2,"questionnaire-s6dh",NA,39855610,11655644,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1436x728",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1726068690268,"11/09/2024 15:31:30",1726097490268,8,"12/09/2024 07:31:30",180348,2,"questionnaire-s6dh",NA,39997089,11690437,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x800","1280x631",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727191630583,"24/09/2024 15:27:10",1727195230583,1,"24/09/2024 17:27:10",180348,2,"questionnaire-s6dh",NA,40235476,11746139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x585",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727881183991,"02/10/2024 14:59:43",1727884783991,1,"02/10/2024 16:59:43",180348,2,"questionnaire-s6dh",NA,40405212,11789972,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Consent (Clone)",7,"EFDGCHBIA","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1727960310055,"03/10/2024 12:58:30",1727963910055,1,"03/10/2024 14:58:30",180348,2,"questionnaire-s6dh",NA,40421109,11794177,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1440x900","1440x765",NA,NA,0,"Consent (Clone)",7,"HIGAFBECD","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728048494324,"04/10/2024 13:28:14",1728052094324,1,"04/10/2024 15:28:14",180348,2,"questionnaire-s6dh",NA,40442058,11800446,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x797",NA,NA,0,"Consent (Clone)",7,"IAHBGCFDE","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728055826363,"04/10/2024 15:30:26",1728059426363,1,"04/10/2024 17:30:26",180348,2,"questionnaire-s6dh",NA,40447275,11801406,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Consent (Clone)",7,"ABICHDGEF","Failed AC2","Passed AC1","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728476872143,"09/10/2024 12:27:52",1728480472143,1,"09/10/2024 14:27:52",180348,2,"questionnaire-s6dh",NA,40518125,11821655,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x728",NA,NA,0,"Consent (Clone)",7,"DECFBGAHI","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1728660353746,"11/10/2024 15:25:53",1728663953746,1,"11/10/2024 17:25:53",180348,2,"questionnaire-s6dh",NA,40565338,11835855,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1680x1050","1674x926",NA,NA,0,"Consent (Clone)",7,"FGEHDICAB","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
"1",1729072522828,"16/10/2024 09:55:22",1729076122828,1,"16/10/2024 11:55:22",180348,2,"questionnaire-s6dh",NA,40678585,11867092,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Consent (Clone)",7,"GHFIEADBC","Passed AC2","","1","1","1","1","1","1","1","1","1","1","1",NA
