"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","X","Random_ID_new"
"1",1721740242434,"23/07/2024 13:10:42",1721743842434,1,"23/07/2024 15:10:42",180348,2,"questionnaire-wop8",NA,39147860,11486639,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1351x673",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2","","1","2",25,"SUPLCM65569"
"1",1721815905876,"24/07/2024 10:11:45",1721844705876,8,"25/07/2024 02:11:45",180348,2,"questionnaire-wop8",NA,39164702,11491791,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1091x702",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0","1",26,"SUPLCM83190"
"1",1721990316008,"26/07/2024 10:38:36",1721993916008,1,"26/07/2024 12:38:36",180348,2,"questionnaire-wop8",NA,39214451,11503602,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1707x1067","1707x898",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0","1",27,"SUPLCM14619"
"1",1722352266560,"30/07/2024 15:11:06",1722355866560,1,"30/07/2024 17:11:06",180348,2,"questionnaire-wop8",NA,39281047,11519698,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1536x960","1536x825",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2",28,"SUPLCM14738"
"1",1722438688290,"31/07/2024 15:11:28",1722467488290,8,"01/08/2024 07:11:28",180348,2,"questionnaire-wop8",NA,39300717,11525359,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2","","1-0","1",29,"SUPLCM81666"
"1",1722957578387,"06/08/2024 15:19:38",1722943178387,-4,"06/08/2024 07:19:38",180348,2,"questionnaire-wop8",NA,39411111,11551348,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x701",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGAFBECD","Passed AC2","","1-0","1",30,"SUPLCM41800"
"1",1723458120400,"12/08/2024 10:22:00",1723461720400,1,"12/08/2024 12:22:00",180348,2,"questionnaire-wop8",NA,39511788,11571362,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0","1",31,"SUPLCM12782"
"1",1723551766102,"13/08/2024 12:22:46",1723555366102,1,"13/08/2024 14:22:46",180348,2,"questionnaire-wop8",NA,39537474,11577139,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x799",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0","1",32,"SUPLCM15998"
"1",1724155874284,"20/08/2024 12:11:14",1724159474284,1,"20/08/2024 14:11:14",180348,2,"questionnaire-wop8",NA,39627304,11603019,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1504x1003","1504x876",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHI","Passed AC2","","1-0","1",34,"SUPLCM65440"
"1",1724422902482,"23/08/2024 14:21:42",1724426502482,1,"23/08/2024 16:21:42",180348,2,"questionnaire-wop8",NA,39681581,11617063,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 127.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0","1",35,"SUPLCM66245"
"1",1725290188712,"02/09/2024 15:16:28",1725297388712,2,"02/09/2024 19:16:28",180348,2,"questionnaire-wop8",NA,39841695,11652421,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1470x956","1470x747",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2","","1-0","1",37,"SUPLCM70702"
"1",1726069294462,"11/09/2024 15:41:34",1726098094462,8,"12/09/2024 07:41:34",180348,2,"questionnaire-wop8",NA,39997512,11690437,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x800","1280x631",NA,NA,0,"Attention Check 2 (Clone)",1,"ABICHDGEF","Passed AC2","","1-0","1",39,"SUPLCM13522"
"1",1727881903045,"02/10/2024 15:11:43",1727885503045,1,"02/10/2024 17:11:43",180348,2,"questionnaire-wop8",NA,40405506,11789972,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIA","Passed AC2","","1-0","1",41,"SUPLCM09311"
"1",1727884900885,"02/10/2024 16:01:40",1727888500885,1,"02/10/2024 18:01:40",180348,2,"questionnaire-wop8",NA,40406488,11790140,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1200x665",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICAB","Passed AC2","","1","2",10,"SUPLCM80310"
"1",1728049546178,"04/10/2024 13:45:46",1728053146178,1,"04/10/2024 15:45:46",180348,2,"questionnaire-wop8",NA,40442609,11800446,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x797",NA,NA,0,"Attention Check 2 (Clone)",1,"IAHBGCFDE","Passed AC2","","1-0","1",43,"SUPLCM98743"
"1",1728315512074,"07/10/2024 15:38:32",1728319112074,1,"07/10/2024 17:38:32",180348,2,"questionnaire-wop8",NA,40481226,11810550,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x780",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADIEHFG","Passed AC2","","1-0","1",12,"SUPLCM02221"
"1",1728468874802,"09/10/2024 10:14:34",1728472474802,1,"09/10/2024 12:14:34",180348,2,"questionnaire-wop8",NA,40515919,11820759,NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFIGH","Passed AC2","","1-0","1",13,"SUPLCM71524"
"1",1729073081009,"16/10/2024 10:04:41",1729076681009,1,"16/10/2024 12:04:41",180348,2,"questionnaire-wop8",NA,40678801,11867092,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEADBC","Passed AC2","","1-0","1",47,"SUPLCM24504"
