"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"31","AWAITING REVIEW","2023-12-13T20:32:22.738000Z","2023-12-13T21:09:21.545000Z",NA,"2023-12-13T21:09:21.983230Z",2219,"C6UC3A24",4596,"English","No","25","Male","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF72971"
"32","AWAITING REVIEW","2023-12-13T20:56:50.094000Z","2023-12-13T21:37:27.307000Z",NA,"2023-12-13T21:37:27.892483Z",2438,"C6UC3A24",2175,"English, Spanish","No","24","Female","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF80125"
"33","AWAITING REVIEW","2023-12-13T21:03:10.754000Z","2023-12-13T21:40:46.837000Z",NA,"2023-12-13T21:40:47.292371Z",2257,"C6UC3A24",408,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF99862"
"34","AWAITING REVIEW","2023-12-13T21:18:23.412000Z","2023-12-13T22:55:55.163000Z",NA,"2023-12-13T22:55:55.699769Z",5852,"C6UC3A24",732,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF79308"
"35","AWAITING REVIEW","2023-12-13T21:13:18.118000Z","2023-12-13T21:54:10.884000Z",NA,"2023-12-13T21:54:11.601597Z",2453,"C6UC3A24",91,"English","No","23","Female","Asian","United States","United States","United States","English","No","Full-Time","SUPPRF93631"
"36","AWAITING REVIEW","2023-12-13T21:14:02.150000Z","2023-12-13T21:52:15.359000Z",NA,"2023-12-13T21:52:16.772861Z",2294,"C6UC3A24",823,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF07871"
"37","AWAITING REVIEW","2023-12-13T21:15:40.486000Z","2023-12-13T22:33:04.833000Z",NA,"2023-12-13T22:33:05.264100Z",4645,"C6UC3A24",102,"English, French, German, Greek, Italian, Russian, Spanish","No","25","Male","Black","Nigeria","United States","Nigeria","English","Yes","Part-Time","SUPPRF51859"
"38","AWAITING REVIEW","2023-12-13T22:10:07.685000Z","2023-12-13T23:03:47.757000Z",NA,"2023-12-13T23:03:48.230321Z",3221,"C6UC3A24",426,"English","No","22","Female","Black","United States","United States","United States","English","Yes","Part-Time","SUPPRF92652"
"39","AWAITING REVIEW","2023-12-13T22:20:38.795000Z","2023-12-13T23:59:58.178000Z",NA,"2023-12-13T23:59:58.589524Z",5960,"6569eb5bb508cb1b38e21de5",30,"English","No","22","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Unemployed (and job seeking)","SUPPRF04851"
"40","AWAITING REVIEW","2023-12-13T22:22:41.047000Z","2023-12-13T23:24:47.372000Z",NA,"2023-12-13T23:24:47.785731Z",3727,"C6UC3A24",1845,"English","No","24","Male","White","United States","United States","United States","English","Yes","Full-Time","SUPPRF62643"
"41","AWAITING REVIEW","2023-12-13T22:24:44.107000Z","2023-12-13T23:26:41.510000Z",NA,"2023-12-13T23:26:41.983597Z",3718,"C6UC3A24",435,"English","No","18","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF42239"
"42","AWAITING REVIEW","2023-12-13T22:44:06.343000Z","2023-12-13T23:20:26.361000Z",NA,"2023-12-13T23:20:26.887921Z",2181,"C6UC3A24",315,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF85201"
"43","AWAITING REVIEW","2023-12-13T22:48:12.453000Z","2023-12-13T23:53:13.057000Z",NA,"2023-12-13T23:53:13.508101Z",3901,"C6UC3A24",182,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF62274"
"44","AWAITING REVIEW","2023-12-13T22:50:47.701000Z","2023-12-14T00:05:12.773000Z",NA,"2023-12-14T00:05:13.389498Z",4466,"C6UC3A24",623,"English","No","25","Male","Other","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF02996"
"45","AWAITING REVIEW","2023-12-13T23:21:37.873000Z","2023-12-14T00:23:30.092000Z",NA,"2023-12-14T00:23:30.581870Z",3713,"C6UC3A24",32,"English","No","25","Female","Black","Nigeria","United States","Nigeria","English","Yes","Part-Time","SUPPRF41927"
"46","AWAITING REVIEW","2023-12-14T03:35:49.069000Z","2023-12-14T04:19:18.577000Z",NA,"2023-12-14T04:19:19.075832Z",2610,"C6UC3A24",14,"English","No","22","Male","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF40441"
"47","AWAITING REVIEW","2023-12-14T03:41:17.414000Z","2023-12-14T04:31:22.427000Z",NA,"2023-12-14T04:31:22.892182Z",3006,"C6UC3A24",299,"English, Spanish","No","24","Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","SUPPRF87722"
