"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1702502161095,"13/12/2023 21:16:01",1702502161095,0,"13/12/2023 21:16:01",157047,5,"questionnaire-4h2a",NA,33651237,9959374,NA,"complete",NA,"657a1e95cb775bd78d97c049","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","External_attention_first","1","2","1","2","3","4","5","SUPPRF07871"
"1",1702502184898,"13/12/2023 21:16:24",1702473384898,-8,"13/12/2023 05:16:24",157047,5,"questionnaire-4h2a",NA,33651243,9959371,NA,"complete",NA,"657a1e398a5bd029366a603c","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x715",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","External_attention_first","2","3","3","4","1","2","6","SUPPRF93631"
"1",1702502525914,"13/12/2023 21:22:05",1702473725914,-8,"13/12/2023 05:22:05",157047,5,"questionnaire-4h2a",NA,33651397,9959384,NA,"complete",NA,"657a1ee9f7f4169c437fba06","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x585",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Passed AC2","","Self_focused_attention_first","1","2","1","2","4","5","6","SUPPRF51859"
"1",1702503237446,"13/12/2023 21:33:57",1702503237446,0,"13/12/2023 21:33:57",157047,5,"questionnaire-4h2a",NA,33651858,9959393,NA,"complete",NA,"657a1d8592a876e223023f8b","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x747",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","3","4","3","4","3","4","9","SUPPRF79308"
"1",1702506144543,"13/12/2023 22:22:24",1702488144543,-5,"13/12/2023 12:22:24",157047,5,"questionnaire-4h2a",NA,33653521,9959702,NA,"complete",NA,"657a29ecbfb691d739a99e76","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1360x768","1360x599",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","2","3","4","2","3","6","SUPPRF92652"
"1",1702507355363,"13/12/2023 22:42:35",1702489355363,-5,"13/12/2023 12:42:35",157047,5,"questionnaire-4h2a",NA,33653857,9959747,NA,"complete",NA,"657a2eab36fd1eb86db5307e","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 119.0.0.0","1517x852","1517x696",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","1","2","1","2","1","2","3","SUPPRF62643"
"1",1702507672910,"13/12/2023 22:47:52",1702507672910,0,"13/12/2023 22:47:52",157047,5,"questionnaire-4h2a",NA,33654040,9959808,NA,"complete",NA,"657a3356ddbf30bb5b9a79db","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1494x934","1494x765",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","External_attention_first","1","2","1","2","2","3","4","SUPPRF85201"
"1",1702508180792,"13/12/2023 22:56:20",1702508180792,0,"13/12/2023 22:56:20",157047,5,"questionnaire-4h2a",NA,33654167,9959853,NA,"complete",NA,"657a34a681def8178c4b0cb1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","2","3","3","4","2","3","7","SUPPRF62274"
"1",1702508361902,"13/12/2023 22:59:21",1702508361902,0,"13/12/2023 22:59:21",157047,5,"questionnaire-4h2a",NA,33654213,9959790,NA,"complete",NA,"657a2f2689695ed70e5ecfac","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1600x732",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Self_focused_attention_first","2","3","2","3","1","2","5","SUPPRF42239"
"1",1702508505839,"13/12/2023 23:01:45",1702486905839,-6,"13/12/2023 11:01:45",157047,5,"questionnaire-4h2a",NA,33654233,9959751,NA,"complete",NA,"657a2d7fbb15e138105084e6","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x651",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","External_attention_first","3","4","2","3","3","4","8","SUPPRF04851"
