"Trial.Number","Random_ID","Mood","Anxiety","fdbk","SubjPE","PE","Certainty_Rating","m_hist","Prediction","pilot_nr","pilot_details"
19,"SUPPRF18834",65,20,97,46,17,62,80,51,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF18834",63,15,71,8,0,65,71,63,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF18834",60,17,58,11,12,75,46,47,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF18834",37,15,8,-18,-12,74,20,26,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF18834",56,20,20,-6,0,64,20,26,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF18834",43,15,28,-16,-1,35,29,44,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF18834",51,22,68,6,-12,35,80,62,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF18834",42,24,29,-7,0,45,29,36,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF18834",57,30,41,-4,-13,68,54,45,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF18834",43,24,50,10,-13,38,63,40,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF18834",37,24,46,-7,0,64,46,53,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF18834",58,35,37,6,0,30,37,31,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF18834",36,32,22,-14,-15,61,37,36,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF18834",43,39,38,-2,1,26,37,40,"Pilot 6","Pilot 6: feedback + text"
33,"SUPPRF18834",33,54,47,30,-16,84,63,17,"Pilot 6","Pilot 6: feedback + text"
34,"SUPPRF18834",23,30,16,-10,-13,53,29,26,"Pilot 6","Pilot 6: feedback + text"
35,"SUPPRF18834",25,30,66,42,12,35,54,24,"Pilot 6","Pilot 6: feedback + text"
36,"SUPPRF18834",35,35,84,47,13,77,71,37,"Pilot 6","Pilot 6: feedback + text"
37,"SUPPRF18834",48,30,46,32,17,84,29,14,"Pilot 6","Pilot 6: feedback + text"
38,"SUPPRF18834",53,38,15,-24,-14,59,29,39,"Pilot 6","Pilot 6: feedback + text"
39,"SUPPRF18834",33,62,45,1,-1,64,46,44,"Pilot 6","Pilot 6: feedback + text"
40,"SUPPRF18834",67,36,55,-4,-16,67,71,59,"Pilot 6","Pilot 6: feedback + text"
41,"SUPPRF18834",52,38,24,-9,-13,28,37,33,"Pilot 6","Pilot 6: feedback + text"
42,"SUPPRF18834",36,72,54,15,0,57,54,39,"Pilot 6","Pilot 6: feedback + text"
43,"SUPPRF18834",49,37,63,14,0,35,63,49,"Pilot 6","Pilot 6: feedback + text"
44,"SUPPRF18834",50,41,81,6,1,93,80,75,"Pilot 6","Pilot 6: feedback + text"
45,"SUPPRF18834",40,36,6,-10,-14,92,20,16,"Pilot 6","Pilot 6: feedback + text"
46,"SUPPRF18834",47,35,38,-8,-16,30,54,46,"Pilot 6","Pilot 6: feedback + text"
47,"SUPPRF18834",55,36,62,38,-1,30,63,24,"Pilot 6","Pilot 6: feedback + text"
48,"SUPPRF18834",44,38,35,19,15,92,20,16,"Pilot 6","Pilot 6: feedback + text"
1,"SUPPRF41746",40,47,55,22,1,33,54,33,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF41746",47,48,46,16,17,49,29,30,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF41746",40,48,24,-23,-13,52,37,47,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF41746",47,48,84,10,13,58,71,74,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF41746",45,50,67,-13,-13,62,80,80,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF41746",42,46,8,-12,-12,58,20,20,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF41746",45,45,48,18,19,51,29,30,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF41746",46,48,50,-16,-13,70,63,66,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF41746",46,45,77,27,14,77,63,50,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF41746",49,41,58,14,12,66,46,44,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF41746",49,44,54,-2,0,68,54,56,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF41746",47,43,63,14,0,63,63,49,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF41746",49,41,28,-2,-1,73,29,30,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF41746",48,40,34,-5,-12,40,46,39,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF41746",49,42,19,-3,-1,65,20,22,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF41746",48,38,51,20,14,48,37,31,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF41746",48,39,37,18,17,67,20,19,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF41746",48,39,41,-9,-13,57,54,50,"Pilot 6","Pilot 6: feedback + text"
19,"SUPPRF41746",49,38,33,-24,-13,63,46,57,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF41746",50,44,80,0,0,54,80,80,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF41746",47,40,49,5,12,48,37,44,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF41746",44,38,46,22,0,67,46,24,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF41746",42,42,35,14,15,49,20,21,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF41746",39,40,29,0,0,51,29,29,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF41746",44,37,62,4,-1,58,63,58,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF41746",45,38,38,6,1,49,37,32,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF41746",48,38,37,1,0,66,37,36,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF41746",46,38,20,2,0,59,20,18,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF41746",50,35,70,-1,-1,70,71,71,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF41746",48,40,45,-4,-1,65,46,49,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF41746",50,37,71,0,0,68,71,71,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF41746",43,36,56,-18,-15,75,71,74,"Pilot 6","Pilot 6: feedback + text"
33,"SUPPRF41746",46,37,68,12,14,70,54,56,"Pilot 6","Pilot 6: feedback + text"
34,"SUPPRF41746",49,40,68,11,-12,47,80,57,"Pilot 6","Pilot 6: feedback + text"
35,"SUPPRF41746",49,50,55,55,-16,0,71,0,"Pilot 6","Pilot 6: feedback + text"
36,"SUPPRF41746",48,41,96,28,16,50,80,68,"Pilot 6","Pilot 6: feedback + text"
37,"SUPPRF41746",45,37,15,-13,-14,49,29,28,"Pilot 6","Pilot 6: feedback + text"
38,"SUPPRF41746",40,37,38,-26,-16,56,54,64,"Pilot 6","Pilot 6: feedback + text"
39,"SUPPRF41746",44,34,83,11,12,54,71,72,"Pilot 6","Pilot 6: feedback + text"
40,"SUPPRF41746",45,40,97,18,17,67,80,79,"Pilot 6","Pilot 6: feedback + text"
41,"SUPPRF41746",41,37,66,-1,12,64,54,67,"Pilot 6","Pilot 6: feedback + text"
42,"SUPPRF41746",40,35,16,-12,-13,65,29,28,"Pilot 6","Pilot 6: feedback + text"
43,"SUPPRF41746",39,37,65,21,19,66,46,44,"Pilot 6","Pilot 6: feedback + text"
44,"SUPPRF41746",44,35,78,43,15,49,63,35,"Pilot 6","Pilot 6: feedback + text"
45,"SUPPRF41746",41,35,47,-14,-16,58,63,61,"Pilot 6","Pilot 6: feedback + text"
46,"SUPPRF41746",40,36,22,-12,-15,48,37,34,"Pilot 6","Pilot 6: feedback + text"
47,"SUPPRF41746",42,39,81,5,1,63,80,76,"Pilot 6","Pilot 6: feedback + text"
48,"SUPPRF41746",43,34,6,-11,-14,60,20,17,"Pilot 6","Pilot 6: feedback + text"
1,"SUPPRF51534",52,65,24,-9,-13,59,37,33,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF51534",49,57,46,5,0,62,46,41,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF51534",67,49,45,1,-1,64,46,44,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF51534",73,37,70,4,-1,73,71,66,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF51534",69,31,83,11,12,75,71,72,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF51534",73,19,62,2,-1,75,63,60,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF51534",46,51,50,-17,-13,73,63,67,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF51534",48,55,28,4,-1,69,29,24,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF51534",53,52,41,-8,-13,83,54,49,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF51534",52,50,67,1,-13,69,80,66,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF51534",42,57,55,-9,1,70,54,64,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF51534",63,44,37,18,17,78,20,19,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF51534",72,44,68,19,-12,70,80,49,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF51534",22,63,15,-22,-14,65,29,37,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF51534",55,52,48,24,19,61,29,24,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF51534",51,53,8,-28,-12,17,20,36,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF51534",66,47,54,8,0,51,54,46,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF51534",59,40,38,-2,1,56,37,40,"Pilot 6","Pilot 6: feedback + text"
19,"SUPPRF51534",67,35,71,23,0,55,71,48,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF51534",60,42,63,-7,0,68,63,70,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF51534",67,31,35,11,15,64,20,24,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF51534",38,59,6,-16,-14,65,20,22,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF51534",68,35,78,13,15,61,63,65,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF51534",54,30,65,10,19,56,46,55,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF51534",67,33,20,-2,0,82,20,22,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF51534",57,34,58,15,12,65,46,43,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF51534",60,37,49,-1,12,71,37,50,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF51534",65,32,84,28,13,71,71,56,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF51534",72,22,46,14,17,83,29,32,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF51534",71,34,80,40,0,72,80,40,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF51534",74,31,29,-5,0,64,29,34,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF51534",64,23,51,11,14,65,37,40,"Pilot 6","Pilot 6: feedback + text"
33,"SUPPRF51534",48,51,19,-1,-1,69,20,20,"Pilot 6","Pilot 6: feedback + text"
34,"SUPPRF51534",72,28,68,15,14,84,54,53,"Pilot 6","Pilot 6: feedback + text"
35,"SUPPRF51534",47,45,33,-11,-13,58,46,44,"Pilot 6","Pilot 6: feedback + text"
36,"SUPPRF51534",49,49,56,-12,-15,64,71,68,"Pilot 6","Pilot 6: feedback + text"
37,"SUPPRF51534",41,61,22,-21,-15,69,37,43,"Pilot 6","Pilot 6: feedback + text"
38,"SUPPRF51534",48,51,37,6,0,71,37,31,"Pilot 6","Pilot 6: feedback + text"
39,"SUPPRF51534",44,58,38,-16,-16,66,54,54,"Pilot 6","Pilot 6: feedback + text"
40,"SUPPRF51534",64,30,77,17,14,63,63,60,"Pilot 6","Pilot 6: feedback + text"
41,"SUPPRF51534",39,59,16,-14,-13,60,29,30,"Pilot 6","Pilot 6: feedback + text"
42,"SUPPRF51534",74,42,96,37,16,64,80,59,"Pilot 6","Pilot 6: feedback + text"
43,"SUPPRF51534",43,53,47,-14,-16,74,63,61,"Pilot 6","Pilot 6: feedback + text"
44,"SUPPRF51534",65,34,97,22,17,76,80,75,"Pilot 6","Pilot 6: feedback + text"
45,"SUPPRF51534",46,46,34,-8,-12,51,46,42,"Pilot 6","Pilot 6: feedback + text"
46,"SUPPRF51534",58,32,81,19,1,52,80,62,"Pilot 6","Pilot 6: feedback + text"
47,"SUPPRF51534",61,44,55,6,-16,40,71,49,"Pilot 6","Pilot 6: feedback + text"
48,"SUPPRF51534",59,35,66,13,12,64,54,53,"Pilot 6","Pilot 6: feedback + text"
1,"SUPPRF77371",51,41,22,-11,-15,48,37,33,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF77371",72,45,80,-1,0,78,80,81,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF77371",67,34,68,37,14,37,54,31,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF77371",64,31,38,6,1,32,37,32,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF77371",53,37,96,46,16,50,80,50,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF77371",63,46,63,32,0,33,63,31,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF77371",76,40,81,5,1,76,80,76,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF77371",75,27,46,21,17,24,29,25,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF77371",76,30,67,-7,-13,79,80,74,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF77371",84,22,62,-6,-1,69,63,68,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF77371",77,23,24,-24,-13,52,37,48,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF77371",82,18,83,46,12,56,71,37,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF77371",87,14,19,10,-1,6,20,9,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF77371",84,14,55,7,1,44,54,48,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF77371",89,11,16,5,-13,15,29,11,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF77371",88,22,58,25,12,45,46,33,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF77371",91,8,20,8,0,9,20,12,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF77371",93,9,48,36,19,12,29,12,"Pilot 6","Pilot 6: feedback + text"
19,"SUPPRF77371",94,1,65,31,19,28,46,34,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF77371",96,5,33,-7,-13,16,46,40,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF77371",92,3,50,-3,-13,55,63,53,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF77371",93,5,38,-18,-16,41,54,56,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF77371",95,14,28,-29,-1,30,29,57,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF77371",90,15,8,-8,-12,16,20,16,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF77371",87,4,56,-6,-15,45,71,62,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF77371",95,4,45,5,-1,38,46,40,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF77371",86,11,47,-7,-16,52,63,54,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF77371",73,15,34,-8,-12,27,46,42,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF77371",80,17,54,10,0,50,54,44,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF77371",82,8,37,16,17,18,20,21,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF77371",84,14,68,-7,-12,37,80,75,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF77371",90,5,29,3,0,15,29,26,"Pilot 6","Pilot 6: feedback + text"
33,"SUPPRF77371",82,7,15,-15,-14,13,29,30,"Pilot 6","Pilot 6: feedback + text"
34,"SUPPRF77371",75,10,78,58,15,48,63,20,"Pilot 6","Pilot 6: feedback + text"
35,"SUPPRF77371",91,7,41,14,-13,20,54,27,"Pilot 6","Pilot 6: feedback + text"
36,"SUPPRF77371",97,6,66,20,12,43,54,46,"Pilot 6","Pilot 6: feedback + text"
37,"SUPPRF77371",79,10,46,25,0,28,46,21,"Pilot 6","Pilot 6: feedback + text"
38,"SUPPRF77371",97,1,97,33,17,42,80,64,"Pilot 6","Pilot 6: feedback + text"
39,"SUPPRF77371",98,6,71,5,0,42,71,66,"Pilot 6","Pilot 6: feedback + text"
40,"SUPPRF77371",94,7,55,-17,-16,62,71,72,"Pilot 6","Pilot 6: feedback + text"
41,"SUPPRF77371",84,4,70,24,-1,46,71,46,"Pilot 6","Pilot 6: feedback + text"
42,"SUPPRF77371",87,8,84,30,13,53,71,54,"Pilot 6","Pilot 6: feedback + text"
43,"SUPPRF77371",92,4,37,12,0,25,37,25,"Pilot 6","Pilot 6: feedback + text"
44,"SUPPRF77371",96,3,49,21,12,34,37,28,"Pilot 6","Pilot 6: feedback + text"
45,"SUPPRF77371",97,6,35,11,15,53,20,24,"Pilot 6","Pilot 6: feedback + text"
46,"SUPPRF77371",98,2,77,37,14,62,63,40,"Pilot 6","Pilot 6: feedback + text"
47,"SUPPRF77371",96,2,51,22,14,48,37,29,"Pilot 6","Pilot 6: feedback + text"
48,"SUPPRF77371",93,9,6,-39,-14,45,20,45,"Pilot 6","Pilot 6: feedback + text"
1,"SUPPRF20648",54,31,51,13,14,89,37,38,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF20648",49,35,55,-5,1,64,54,60,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF20648",52,48,66,11,12,89,54,55,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF20648",53,49,68,-12,-12,66,80,80,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF20648",52,51,55,-10,-16,54,71,65,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF20648",50,43,46,-24,0,53,46,70,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF20648",55,50,83,27,12,53,71,56,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF20648",53,44,28,5,-1,48,29,23,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF20648",52,50,78,31,15,12,63,47,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF20648",47,47,47,-16,-16,72,63,63,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF20648",66,47,96,16,16,55,80,80,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF20648",51,40,49,23,12,50,37,26,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF20648",42,30,46,32,17,0,29,14,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF20648",47,25,58,18,12,77,46,40,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF20648",49,37,84,14,13,71,71,70,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF20648",40,22,38,-12,-16,21,54,50,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF20648",50,28,80,-4,0,85,80,84,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF20648",41,24,48,10,19,11,29,38,"Pilot 6","Pilot 6: feedback + text"
19,"SUPPRF20648",50,31,56,0,-15,26,71,56,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF20648",46,27,77,36,14,70,63,41,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF20648",51,32,37,4,0,52,37,33,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF20648",45,27,81,-4,1,90,80,85,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF20648",49,27,35,21,15,74,20,14,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF20648",41,25,24,-16,-13,69,37,40,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF20648",86,21,97,54,17,26,80,43,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF20648",48,28,29,1,0,72,29,28,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF20648",51,33,22,-11,-15,70,37,33,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF20648",51,28,34,-11,-12,90,46,45,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF20648",74,27,19,4,-1,85,20,15,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF20648",50,36,54,6,0,85,54,48,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF20648",51,35,15,-11,-14,77,29,26,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF20648",52,52,65,25,19,70,46,40,"Pilot 6","Pilot 6: feedback + text"
33,"SUPPRF20648",50,33,45,-9,-1,74,46,54,"Pilot 6","Pilot 6: feedback + text"
34,"SUPPRF20648",49,48,38,8,1,65,37,30,"Pilot 6","Pilot 6: feedback + text"
35,"SUPPRF20648",48,29,50,-10,-13,80,63,60,"Pilot 6","Pilot 6: feedback + text"
36,"SUPPRF20648",50,34,63,-1,0,71,63,64,"Pilot 6","Pilot 6: feedback + text"
37,"SUPPRF20648",50,24,62,-6,-1,90,63,68,"Pilot 6","Pilot 6: feedback + text"
38,"SUPPRF20648",48,31,37,20,17,76,20,17,"Pilot 6","Pilot 6: feedback + text"
39,"SUPPRF20648",49,35,33,-9,-13,80,46,42,"Pilot 6","Pilot 6: feedback + text"
40,"SUPPRF20648",50,34,41,-9,-13,70,54,50,"Pilot 6","Pilot 6: feedback + text"
41,"SUPPRF20648",51,30,67,-21,-13,85,80,88,"Pilot 6","Pilot 6: feedback + text"
42,"SUPPRF20648",49,27,68,11,14,90,54,57,"Pilot 6","Pilot 6: feedback + text"
43,"SUPPRF20648",51,30,16,-28,-13,0,29,44,"Pilot 6","Pilot 6: feedback + text"
44,"SUPPRF20648",50,28,6,-18,-14,65,20,24,"Pilot 6","Pilot 6: feedback + text"
45,"SUPPRF20648",79,32,70,50,-1,1,71,20,"Pilot 6","Pilot 6: feedback + text"
46,"SUPPRF20648",47,19,8,-2,-12,94,20,10,"Pilot 6","Pilot 6: feedback + text"
47,"SUPPRF20648",50,33,20,13,0,70,20,7,"Pilot 6","Pilot 6: feedback + text"
48,"SUPPRF20648",49,28,71,-6,0,80,71,77,"Pilot 6","Pilot 6: feedback + text"
1,"SUPPRF71510",50,0,62,-3,-1,50,63,65,"Pilot 6","Pilot 6: feedback + text"
2,"SUPPRF71510",49,0,6,-24,-14,70,20,30,"Pilot 6","Pilot 6: feedback + text"
3,"SUPPRF71510",51,0,66,11,12,30,54,55,"Pilot 6","Pilot 6: feedback + text"
4,"SUPPRF71510",49,0,45,0,-1,84,46,45,"Pilot 6","Pilot 6: feedback + text"
5,"SUPPRF71510",50,0,80,10,0,83,80,70,"Pilot 6","Pilot 6: feedback + text"
6,"SUPPRF71510",50,0,51,-4,14,81,37,55,"Pilot 6","Pilot 6: feedback + text"
7,"SUPPRF71510",50,0,84,14,13,96,71,70,"Pilot 6","Pilot 6: feedback + text"
8,"SUPPRF71510",52,0,37,30,17,92,20,7,"Pilot 6","Pilot 6: feedback + text"
9,"SUPPRF71510",50,0,83,3,12,96,71,80,"Pilot 6","Pilot 6: feedback + text"
10,"SUPPRF71510",51,0,54,-16,0,91,54,70,"Pilot 6","Pilot 6: feedback + text"
11,"SUPPRF71510",51,0,68,3,14,77,54,65,"Pilot 6","Pilot 6: feedback + text"
12,"SUPPRF71510",50,0,46,12,17,67,29,34,"Pilot 6","Pilot 6: feedback + text"
13,"SUPPRF71510",49,0,8,-8,-12,92,20,16,"Pilot 6","Pilot 6: feedback + text"
14,"SUPPRF71510",51,0,47,-23,-16,87,63,70,"Pilot 6","Pilot 6: feedback + text"
15,"SUPPRF71510",49,0,67,17,-13,14,80,50,"Pilot 6","Pilot 6: feedback + text"
16,"SUPPRF71510",50,0,50,-18,-13,97,63,68,"Pilot 6","Pilot 6: feedback + text"
17,"SUPPRF71510",50,0,58,15,12,96,46,43,"Pilot 6","Pilot 6: feedback + text"
18,"SUPPRF71510",51,0,70,-2,-1,94,71,72,"Pilot 6","Pilot 6: feedback + text"
19,"SUPPRF71510",50,0,97,62,17,79,80,35,"Pilot 6","Pilot 6: feedback + text"
20,"SUPPRF71510",51,0,34,-9,-12,94,46,43,"Pilot 6","Pilot 6: feedback + text"
21,"SUPPRF71510",50,0,78,44,15,92,63,34,"Pilot 6","Pilot 6: feedback + text"
22,"SUPPRF71510",50,0,46,-4,0,85,46,50,"Pilot 6","Pilot 6: feedback + text"
23,"SUPPRF71510",51,0,65,20,19,85,46,45,"Pilot 6","Pilot 6: feedback + text"
24,"SUPPRF71510",51,0,63,4,0,71,63,59,"Pilot 6","Pilot 6: feedback + text"
25,"SUPPRF71510",51,0,22,-18,-15,90,37,40,"Pilot 6","Pilot 6: feedback + text"
26,"SUPPRF71510",51,0,38,11,-16,83,54,27,"Pilot 6","Pilot 6: feedback + text"
27,"SUPPRF71510",50,0,38,-29,1,86,37,67,"Pilot 6","Pilot 6: feedback + text"
28,"SUPPRF71510",51,0,48,9,19,82,29,39,"Pilot 6","Pilot 6: feedback + text"
29,"SUPPRF71510",50,0,41,5,-13,75,54,36,"Pilot 6","Pilot 6: feedback + text"
30,"SUPPRF71510",50,0,16,-48,-13,89,29,64,"Pilot 6","Pilot 6: feedback + text"
31,"SUPPRF71510",52,0,55,-18,-16,93,71,73,"Pilot 6","Pilot 6: feedback + text"
32,"SUPPRF71510",49,0,37,-37,0,96,37,74,"Pilot 6","Pilot 6: feedback + text"
