"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695825990211,"27/09/2023 14:46:30",1695811590211,-4,"27/09/2023 06:46:30",144636,4,"questionnaire-wop8",NA,31898694,9432377,NA,"complete","jqddnj","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1-0","1","SUPAMT97320"
"1",1695826057135,"27/09/2023 14:47:37",1695811657135,-4,"27/09/2023 06:47:37",144636,4,"questionnaire-wop8",NA,31898723,9432505,NA,"complete","jwepkj","374TNBHA8HUZ4VV37312XXDIJ51YQ9","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPAMT52969"
"1",1695826070421,"27/09/2023 14:47:50",1695811670421,-4,"27/09/2023 06:47:50",144636,4,"questionnaire-wop8",NA,31898725,9432514,NA,"complete","uvjjmy","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT43564"
"1",1695826189158,"27/09/2023 14:49:49",1695811789158,-4,"27/09/2023 06:49:49",144636,4,"questionnaire-wop8",NA,31898768,9432358,NA,"complete","nqvddy","3A1PQ49WVNGP1WLXCO7ZAWA7LYTH1X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1024x768","1024x619",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPAMT62430"
"1",1695826223431,"27/09/2023 14:50:23",1695811823431,-4,"27/09/2023 06:50:23",144636,4,"questionnaire-wop8",NA,31898777,9432150,NA,"complete","yvuxbq","3AQF3RZ55EH0UMVON4VG27PBDTW6FK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT59606"
"1",1695826807231,"27/09/2023 15:00:07",1695812407231,-4,"27/09/2023 07:00:07",144636,4,"questionnaire-wop8",NA,31899056,9432562,NA,"complete","ozxtog","3B1NLC6UG5VEIS9ODK07QSG49EMPGA","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Passed AC2","","1-0","1","SUPAMT70919"
"1",1695837905349,"27/09/2023 18:05:05",1695812705349,-7,"27/09/2023 04:05:05",144636,4,"questionnaire-wop8",NA,31899151,9432557,NA,"complete","szsaef","3DZQRBDBSREA18DSAMXH23W6SSRS3M","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1352x761",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPAMT02309"
"1",1695827994395,"27/09/2023 15:19:54",1695813594395,-4,"27/09/2023 07:19:54",144636,4,"questionnaire-wop8",NA,31899659,9432617,NA,"complete","qfohnv","3HVVDCPGTKRCWBNVO7VX22O53C2TYK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1910x1055","1238x889",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1-0","1","SUPAMT96542"
"1",1695828089825,"27/09/2023 15:21:29",1695813689825,-4,"27/09/2023 07:21:29",144636,4,"questionnaire-wop8",NA,31899995,9432569,NA,"complete","smzssm","3IXEICO798IADRDPIO05JB4C4276TV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Failed AC2","Passed AC1","0-2","3","SUPAMT61489"
"1",1695828345024,"27/09/2023 15:25:45",1695813945024,-4,"27/09/2023 07:25:45",144636,4,"questionnaire-wop8",NA,31900009,9432653,NA,"complete","tdwmjw","33UKMF931FJGFPO1E18YULWQOAKTTV","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Failed AC2","Passed AC1","0-2","3","SUPAMT30004"
